analysisSingularTheme,syllabifiedTheme,source,notes
!akkʷzin,akk.zin,new_corrections,gem=complex coda
!amdlus,!a.md.lus,original,
!bijbzdan,bij.bz.dan,new_corrections,switched linear order
!dbib,!d.bib,original,
!drrab,!dr.rab,original,
!gdrur,!gd.rur,original,
!gruʒʒm,!g.ruʒ.ʒm,original,
!ids,!i.ds,original,
!ild,!i.ld,original,
!kabar,!ka.bar,original,
!lfʒr,!lf.ʒr,original,
!lhdr,!lh.dr,original,
!lʁarad,!l.ʁa.rad,original,
!lʒutij,l.ʒu.tij,new_corrections,switched linear order
!lχtij,lχ.tij,new_corrections,switched linear order
!mddsr,mdd.sr,new_corrections,gem=complex coda
!mdl,!m.dl,original,
!mrruj,mr.ruj,new_corrections,switched linear order
!mrrujsa,mr.ruj.sa,new_corrections,switched linear order
!muʃʃ,muʃʃ,new_corrections,gem=complex coda
!mħħad,!mħ.ħad,original,
!mʃiwr,!m.ʃi.wr,original,
!mʃʃuwra,mʃ.ʃuw.ra,new_corrections,switched linear order
!nddam,!nd.dam,original,
!nttujfa,nt.tuj.fa,new_corrections,switched linear order
!rbʕij,rb.ʕij,new_corrections,switched linear order
!rrgg,rr.gg,new_corrections,onsetless syllable
!rrij,r.rij,new_corrections,switched linear order
!rrmman,r.rm.man,new_corrections,fixed split of init. gem
!rrmuj,rr.muj,new_corrections,switched linear order
!rrubuʕ,!r.ru.buʕ,original,
!ssbbat,s.sb.bat,new_corrections,fixed split of init. gem
!sskkid,s.sk.kid,new_corrections,fixed split of init. gem
!sskkwar,s.sk.kar,new_corrections,"fixed split of init. gem, deleted segment"
!ttrbij,t.tr.bij,new_corrections,switched linear order
!tuzzgt,tuzz.gt,new_corrections,gem=complex coda
!wsad,w.sad,new_corrections,switched linear order
!zlmad,!zl.mad,original,
!znkʷd,!zn.kʷd,original,
agan,a.gan,original,
ajjaw,aj.jaw,original,
ajjis,aj.jis,original,
ammas,am.mas,original,
ammn,am.mn,new_corrections,coda better for geminate
argagaj,ar.ga.gaj,original,
aruʃ,a.ruʃ,original,
aʒʒgal,aʒʒ.gal,new_corrections,gem=complex coda
bakku,bak.ku,original,
bddiz,bd.diz,original,
brzzuj,brz.zuj,new_corrections,switched linear order
busskka,bus.sk.ka,new_corrections,coda better for geminate
bzg,bzg,original,
bzzag,bz.zag,original,
ddhb,d.dhb,original,
ddriwʃ,dd.ri.wʃ,new_corrections,switched linear order
fijji,fij.ji,new_corrections,switched linear order
fnʃkkr,fn.ʃk.kr,original,
fraw,f.raw,original,
frkkuj,frk.kuj,new_corrections,switched linear order
fus,fus,original,
hruj,h.ruj,new_corrections,switched linear order
ijji,ij.ji,new_corrections,switched linear order
ismmji,i.smm.ji,new_corrections,onsetless gem
izm,i.zm,original,
kilu,ki.lu,original,
lfqqih,l.fq.qih,original,
lhdij,lh.dij,new_corrections,switched linear order
lhrawa,lh.ra.wa,original,
lislam,lis.lam,original,
lksib,lk.sib,original,
lluz,l.luz,original,
lmiziria,l.mi.zir.ja,new_corrections,i > j in onset
lmqqttʕ,l.mq.qt.tʕ,new_corrections,coda better for geminate
lmʕqqul,lm.ʕq.qul,original,
lmʕzz,lm.ʕz.z,original,
lulli,lul.li,original,
lħaʒʒ,l.ħaʒʒ,new_corrections,gem=Complex coda
lʒam,l.ʒam,original,
lχuf,l.χuf,original,
malass,ma.lass,new_corrections,gem=complex coda
mdwws,m.dw.ws,new_corrections,onsetless syllable
mllʁtazlaft,ml.lʁ.taz.la.ft,new_corrections,coda better for geminate
mmussna,m.mus.s.na,original,
msijjs,m.sij.js,new_corrections,onsetless syllable
msruj,ms.ruj,new_corrections,switched linear order
mssggar,ms.sg.gar,new_corrections,coda better for geminate
mummuj,mum.muj,original,
murig,mu.rig,original,
ngul,n.gul,original,
nnij,n.nij,new_corrections,switched linear order
nnmra,n.nm.ra,new_corrections,fixed split of init. gem
nnqqʷr,n.nq.qr,new_corrections,fixed split of init. gem
rkkim,rk.kim,original,
rrwa,rr.wa,original,
rʃʃam,rʃ.ʃam,original,
sabbuk,sab.buk,original,
saqqun,saq.qun,original,
sds,s.ds,original,
sfiw,s.fiw,new_corrections,switched linear order
sillf,sil.lf,new_corrections,coda better for geminate
slum,s.lum,original,
smummuj,s.mum.muj,new_corrections,switched linear order
ssbsi,s.sb.si,new_corrections,fixed split of init. gem
ssgni,s.sg.ni,new_corrections,fixed split of init. gem
sskwila,s.sk.wi.la,new_corrections,fixed split of init. gem
sslukt,ss.lu.kt,new_corrections,switched linear order
ssndu,s.sn.du,original,
ttajsir,t.taj.sir,original,
ukksa,ukk.sa,new_corrections,gem=complex coda
uzu,u.zu,original,
uʃʃn,uʃ.ʃn,original,
wlal,w.lal,new_corrections,switched linear order
wlaħ,w.laħ,new_corrections,switched linear order
wlk,wlk,new_corrections,left empty
wraʁ,w.raʁ,new_corrections,switched linear order
wriq,w.riq,new_corrections,switched linear order
wrz,wrz,new_corrections,left empty
wsaj,w.saj,new_corrections,switched linear order
wtil,w.til,new_corrections,switched linear order
wwullu,w.wu.lu,new_corrections,switched linear order
wwurga,w.wur.ga,new_corrections,Switched linear order
wwuri,w.wu.ri,new_corrections,switched linear order
zamma,zam.ma,original,
zllmza,zl.lm.za,new_corrections,coda better for geminate
zraw,z.raw,original,
ħlajs,ħ.la.js,original,
ħzzar,ħz.zar,original,
ʁijjid,ʁij.jid,new_corrections,switched linear order
ʁʷijji,ʁij.ji,new_corrections,switched linear order
ʁʷmmir,ʁʷm.mir,original,
ʁʷri,ʁʷ.ri,original,
ʁʷrmi,ʁʷr.mi,original,
ʃtibbʃ,ʃ.tib.bʃ,original,
ʃʃfnʒ,ʃʃ.fnʒ,original,
ʒiwwi,ʒiw.wi,new_corrections,switched linear order
ʕli!iʒʒan,ʕ.liʒ.ʒan,new_corrections,dropped segment
ʕwin,ʕ.win,original,
χali,χa.li,original,
χsaj,χ.saj,original,
χʷlil,χʷ.lil,original,
