analysisGender2Category,analysisGender3Category,analysisHasSecondaryMorphYN,analysisInternalChanges,analysisMutability,analysisNotes,analysisPluralPattern,analysisPluralPatternSecondary,analysisPluralSplitYN,analysisPluralTheme,analysisPluralThemeSecondary,analysisRAugSplitYN,analysisRAugVowel,analysisSemanticCoreYN,analysisSingularTheme,lexiconAnimateYN,lexiconGender,lexiconGlossEnglish,lexiconGlossFrench,lexiconHumanYN,lexiconjGender,lexiconLoanwordNotes,lexiconLoanwordSource,lexiconPOS,lexiconSemanticField,lexiconSexGender,recordDataSource,recordID,word1MSF,word2MSB,word3MPF,word4MPB,word5FSF,word6FSB,word7FPF,word8FPB,wordDerivedCategory,wordDerivedCategoryNotes,wordDerivedInput,wordDerivedInputGloss,wordFemBase,wordFemSecondary,wordLexBitVector,wordMascBase,wordMascSecondary,wordNumSemanticCategory,p_stem_sing_syllabified,p_stem_sing_LH,p_stem_sing_foot,p_LH_count_heavies,p_LH_count_moras,p_foot_count_feet,p_foot_residue
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,Zero,N,lmʕzz,N,F,affection,affection,N,F,"last Arabic vowel ""a"" replaced by ""t"" ",Arabic-Assimilated,N,Emotion,,Jebbour 1996,1,,,,,lmʕzzt,lmʕzzt,,,Underived,,NotAppl,,5.0,,0000-1100,0.0,,,lm.ʕzz,HH,FF,1,4,2,0
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,Zero,N,lʕssa,N,F,act of standing on guard or watch,la garde,N,F,,Arabic-Unassimilated,N,Sense Perception,,Jebbour 1996,2,,,,,lʕssa,lʕssa,,,Underived,,NotAppl,,5.0,,0000-1100,0.0,,,l.ʕs.sa,LLL,lF,0,3,1,1
Masculine,Masculine,,,Fixed-Masc,,No Plural,,N,,,,Zero,N,!lkdran,N,M,tar,goudron,N,M,Arabic root consonants replaced,Arabic-Unassimilated,N,Physical Acts & Materials,,Jebbour 1996,3,!lkdran,!lkdran,,,,,,,Underived,,NotAppl,,0.0,,1100-0000,1.0,,,l.kd.ran,LLH,FF,1,4,2,0
Masculine,Masculine,,,Fixed-Masc,,No Plural,,N,,,,Zero,N,lʕum,N,M,swimming,nage,N,M,,Arabic-Unassimilated,N,Motion & Transportation,,Jebbour 1996,4,lʕum,lʕum,,,,,,,Underived,,NotAppl,,0.0,,1100-0000,1.0,,,l.ʕum,LH,lF,1,3,1,1
Masculine,Masculine,,,Fixed-Masc,,No Plural,,N,,,,Zero,N,!drikuk,Y,M,horsefly,taon,N,M,,Native,N,Animals,NonSpec,Jebbour 1996,5,!drikuk,!drikuk,,,,,,,Underived,,NotAppl,,0.0,,1100-0000,1.0,,,d.ri.kuk,LLH,FF,1,4,2,0
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,Zero,N,ajdr,N,F,stubble,chaume,N,F,,Native,N,Body Parts & Functions,,Jebbour 1996,6,,,,,tajdrt,tajdrt,,,Underived,,NotAppl,,5.0,,0000-1100,0.0,,,aj.dr,HL,Fl,1,3,1,1
Feminine,Feminine,,Ablaut,Fixed-Fem,,Internal,,N,gʃrar,,,A,N,gʃrir,N,F,balance (tool),balance,N,F,,Native,N,Physical Acts & Materials,,Jebbour 1996,7,,,,,tagʃrirt,tgʃrirt,tigʃrar,tgʃrar,Underived,,NotAppl,,5.0,,0000-1111,0.0,,,gʃ.rir,HH,FF,1,4,2,0
Feminine,Feminine,,,Fixed-Fem,,External,,N,χʷsmar,,,A,N,χʷsmar,N,F,beardless chin,menton imberbe,N,F,,Native,N,Body Parts & Functions,,Jebbour 1996,8,,,,,taχʷsmart,tχʷsmart,tiχʷsmarin,tχʷsmarin,Underived,,NotAppl,,5.0,,0000-1111,0.0,,,χs.mar,LH,lF,1,3,1,1
Masculine,Neutral,,,Neutral,Assumption: /-at/ plural suffix.,External,,N,lħsab,,Y,I,Y,lħsab,N,F,calculation,calcul,N,F,5 and 6 Tashlhit morphology,Arabic-Assimilated,N,Mind & Thought,,Jebbour 1996,9,lħsab,lħsab,lħsabat,lħsabat,tiħssusba,tħssusba,,,Tirrugza,5-DERIV,ħsb (verb),compute,5.0,,1111-1100,0.0,,,lħ.sab,HH,FF,1,4,2,0
Masculine,Neutral,,,Neutral,,External,,N,ktatbi,,,I,Y,ktatbi,N,F,activity of a public writer,activité d'un écrivain public,N,F,Tashlhit morphology,Arabic-Assimilated,N,Language & Music,,Jebbour 1996,10,aktatbi,uktatbi,iktatbin,iktatbin,tikttutba,tkttutba,,,Tirrugza,5-TIRRUGZA - 1-ABNAKLY,ktb (root),write,5.0,,1111-1100,0.0,,,k.tat.bi,LHL,lFl,1,4,1,1
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,I,N,!mʃʃurda,N,F,participation in the maintenance of the fqih,participation à l'entretien du fqih,N,F,,Native,N,Law & Judgement,,Jebbour 1996,11,,,,,!timʃʃurda,!tmʃʃurda,,,Tirrugza,,???,,5.0,,0000-1100,0.0,,,mʃ.ʃur.da,HHL,FFl,1,5,2,1
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,I,N,!mʃʃuwra,N,F,consultation,concertation,N,F,,Arabic-Assimilated,N,Language & Music,,Jebbour 1996,12,,,,,!timʃʃuwra,!tmʃʃuwra,,,Tirrugza,,ʃawr (verb),consult,5.0,,0000-1100,0.0,,,mʃ.ʃuw.ra,HHL,FFl,1,5,2,1
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,I,N,!mħħudra,N,F,quality of a quran learner,qualité d'un apprenant du coran,N,F,,Arabic-Assimilated,N,Religion & Beliefs,,Jebbour 1996,13,,,,,!timħħudra,!tmħħudra,,,Tirrugza,,amħdar (noun),Learner,5.0,,0000-1100,0.0,,,mħ.ħud.ra,HHL,FFl,1,5,2,1
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,I,N,!mrrujsa,N,F,"leadership, responsibility of a leader, quality of a leader",charge de chef,N,F,,Arabic-Assimilated,N,Social Relations,,Jebbour 1996,14,,,,,!timrrujsa,!tmrrujsa,,,Tirrugza,,!rrajs (noun),leader,5.0,,0000-1100,0.0,,,mr.ruj.sa,LHL,lFl,1,4,1,1
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,I,N,mssufra,N,F,journey,voyage,N,F,,Arabic-Assimilated,N,Motion & Transportation,,Jebbour 1996,15,,,,,timssufra,tmssufra,,,Tirrugza,,amsafri (noun),traveller,5.0,,0000-1100,0.0,,,ms.suf.ra,HHL,FFl,1,5,2,1
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,I,N,nffulsa,N,F,guarding,gardienage,N,F,,Native,N,Warfare & Hunting,,Jebbour 1996,16,,,,,tinffulsa,tnffulsa,,,Tirrugza,,anflus (noun),vigile,5.0,,0000-1100,0.0,,,nf.ful.sa,HHL,FFl,1,5,2,1
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,I,N,nllumda,N,F,learning,apprentissage,N,F,,Arabic-Assimilated,N,Mind & Thought,,Jebbour 1996,17,,,,,tinllumda,tnllumda,,,Tirrugza,,anlmad (noun),learner,5.0,,0000-1100,0.0,,,nl.lum.da,LHL,lFl,1,4,1,1
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,I,N,nmmuʁra,N,F,notability,notabilité,N,F,,Native,N,Sense Perception,,Jebbour 1996,18,,,,,tinmmuʁra,tnmmuʁra,,,Tirrugza,,anmʁur (noun),notable,5.0,,0000-1100,0.0,,,nm.muʁ.ra,LHL,lFl,1,4,1,1
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,I,N,nqqurfa,N,F,drought,sécheresse,N,F,,Native,N,Physical World,,Jebbour 1996,19,,,,,tinqqurfa,tnqqurfa,,,Tirrugza,,anqqarfu (noun),sec,5.0,,0000-1100,0.0,,,nq.qur.fa,HHL,FFl,1,5,2,1
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,I,N,nttulfa,N,F,bewilderment,égarement,N,F,,Arabic-Assimilated,N,Mind & Thought,,Jebbour 1996,20,,,,,tinttulfa,tnttulfa,,,Tirrugza,,anttalfu (noun),égaré,5.0,,0000-1100,0.0,,,nt.tul.fa,HHL,FFl,1,5,2,1
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,I,N,!ntturfa,N,F,isolation,isolement,N,F,,Arabic-Assimilated,N,Spatial Relations,,Jebbour 1996,21,,,,,!tintturfa,!tntturfa,,,Tirrugza,,!anttarfu (noun),insulated,5.0,,0000-1100,0.0,,,nt.tur.fa,HHL,FFl,1,5,2,1
Feminine,Feminine,,,Fixed-Fem,"Gloss: has to do with quality of a person, 'virility', difficult to ascertain the meaning ",No Plural,,N,,,,I,N,!nttujfa,N,F,???,???,N,F,,Unknown,N,Emotion,,Jebbour 1996,22,,,,,!tinttujfa,!tnttujfa,,,Tirrugza,,!anttajfu (noun),???,5.0,,0000-1100,0.0,,,nt.tuj.fa,HHL,FFl,1,5,2,1
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,I,N,nzzumma,N,F,stench,puanteur,N,F,,Native,N,Sense Perception,,Jebbour 1996,23,,,,,tinzzumma,tnzzumma,,,Tirrugza,,anzzammu (noun),putrid,5.0,,0000-1100,0.0,,,nz.zum.ma,HHL,FFl,1,5,2,1
Masculine,Masculine,Yes,,Variable-Masc,To Do: find derived input and gloss,No Plural,,N,,,,Zero,N,ammaj,N,M,To do,To do,N,M,,Native,N,Agriculture & Vegetation,,Jebbour 1996,24,ammaj,wammaj,,,tammajt,tammajt,,,Action Nouns,,???,???,0.0,UNIT,1100-1100,1.0,,5-UNIT,am.maj,HH,FF,1,4,2,0
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,I,N,!dduggla,N,F,quality of being in a in-law relationship,relation belle-famille,N,F,,Native,N,Mankind,,Jebbour 1996,25,,,,,!tidduggla,!tdduggla,,,Tirrugza,,!adggʷal (noun),person in a in-law relation,5.0,,0000-1100,0.0,,,d.dugg.la,LHL,lFl,1,4,1,1
