feature_set,model,n_features,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,auc_roc_mean,auc_roc_std,precision_mean,precision_std,recall_mean,recall_std
baseline,majority_class,0,0.5195488721804512,0.0035664785640996434,0.3419066937119676,0.0015394455140779187,0.5,0.0,0.0,0.0,0.0,0.0
baseline,random_stratified,0,0.45588972431077696,0.10098554073215693,0.45499999999999996,0.1013493274538323,0.45499999999999996,0.10134932745383232,0.4333333333333333,0.10769791845710809,0.4333333333333333,0.10769791845710809
ngrams_only,logistic_regression,1149,0.7401629072681704,0.04937526236069644,0.7394994021067013,0.049416053906556914,0.8203150276713496,0.04985851032887023,0.7255743006632884,0.062440193344685216,0.7481481481481482,0.05179302953926676
ngrams_only,random_forest,1149,0.7241228070175438,0.04747138319418118,0.7228035565211783,0.04708805174804205,0.8034589186888038,0.05600212886037652,0.7171985866041337,0.0640319582285329,0.7148148148148148,0.07417688338666567
ngrams_only,xgboost,1149,0.7400689223057644,0.04919334499376855,0.7391719765679633,0.04899241000644464,0.8081758194976585,0.05666082846021042,0.7319824304117784,0.05582649719299491,0.7296296296296296,0.072092846027933
semantic_only,logistic_regression,24,0.5837406015037593,0.05008701936364592,0.5818614904147991,0.05015798917874244,0.6432758620689655,0.07337041244001688,0.5631051397566124,0.05410642891996532,0.6296296296296295,0.06532719286579235
semantic_only,random_forest,24,0.6033834586466165,0.06027425630985583,0.600343836054698,0.05935594058545962,0.6379757343550447,0.0744187633018489,0.5947089362878837,0.07242050802338859,0.5888888888888888,0.08272526206296768
semantic_only,xgboost,24,0.6104949874686716,0.05822987383065972,0.6097627361219712,0.057887174000620045,0.6443103448275862,0.06831391569173761,0.5937352443160829,0.06251531989033204,0.6148148148148147,0.0584304176108604
morph_only,logistic_regression,12,0.6637218045112783,0.06896773268144342,0.6586592963003693,0.06970675803198098,0.7065538527032779,0.06835143129349379,0.6728048910154173,0.0814185985683277,0.5999999999999999,0.11288029087074036
morph_only,random_forest,12,0.6459586466165413,0.06053503008553117,0.6416325670712905,0.059521156908421434,0.7084397616006811,0.070906211341026,0.6392840648630121,0.07610546465263023,0.6259259259259259,0.1300111962163039
morph_only,xgboost,12,0.6388157894736841,0.05297820879759211,0.6345446166145527,0.051951081675595305,0.7087505321413368,0.06874969547872202,0.6271453004211625,0.065694223481884,0.6333333333333333,0.1300111962163039
phon_only,logistic_regression,1115,0.775751879699248,0.044106547382372956,0.7748058036738139,0.04425950445567075,0.8310344827586207,0.05533463535509908,0.7716488696488696,0.05509516090247517,0.762962962962963,0.06579216096036658
phon_only,random_forest,1115,0.718734335839599,0.049610494996919614,0.7177337416013723,0.04938474059106962,0.8074031502767134,0.061659225888404535,0.7077690734300492,0.06072380809180513,0.7148148148148148,0.0741768833866657
phon_only,xgboost,1115,0.7524749373433584,0.05746381343605953,0.751843885437768,0.05726310666605979,0.8186973180076628,0.06952006897165483,0.7400662258476497,0.06260795526939744,0.7518518518518519,0.0762039474667208
morph_phon,logistic_regression,1127,0.7614974937343357,0.0627825333016542,0.7606332477845968,0.06268914327194118,0.8394423158790975,0.05945725224015831,0.7526442134549332,0.08030029769966243,0.762962962962963,0.0609831557295233
morph_phon,random_forest,1127,0.7222117794486216,0.054287168106680606,0.721738981335998,0.05454783985165095,0.8189655172413793,0.0634857959506648,0.6921680310055056,0.052383556300540556,0.7629629629629631,0.06579216096036657
morph_phon,xgboost,1127,0.7862468671679198,0.08032537059505071,0.7854055188414623,0.08070323274942957,0.858343976160068,0.0565029977836313,0.7779596938306617,0.07845162270521519,0.7777777777777778,0.11179487824861006
all_features,logistic_regression,1151,0.7490914786967419,0.07018389953021904,0.7480691827949062,0.07010676137503168,0.8317113665389526,0.06677543908166542,0.7462918633091047,0.08413702298014161,0.7333333333333334,0.07156235430217008
all_features,random_forest,1151,0.718703007518797,0.05827600076586887,0.7174217169368389,0.05991651320597073,0.8099020859940401,0.06599763747787964,0.6919279218624983,0.06647100911804525,0.7629629629629631,0.05576093723770969
all_features,xgboost,1151,0.7720238095238094,0.08539686896796417,0.7713110586038722,0.0853245762015457,0.8473690932311623,0.06593974052833396,0.7680033079226629,0.0957168371806718,0.7592592592592593,0.09442628728875528
