feature_set,model,n_features,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,auc_roc_mean,auc_roc_std,precision_mean,precision_std,recall_mean,recall_std
baseline,majority_class,0,0.8736842105263157,0.0049793527385749645,0.4662887203902898,0.0014275817083334987,0.5,0.0,0.0,0.0,0.0,0.0
baseline,random_stratified,0,0.7420426065162908,0.03438708782193309,0.47471925625920475,0.06747214422916578,0.4736326530612244,0.0750564783412918,0.08888888888888888,0.10210406483029794,0.11428571428571428,0.1312766547818116
ngrams_only,logistic_regression,1149,0.8150689223057643,0.046343577393836426,0.659954939915669,0.060813586417448925,0.7463892128279884,0.08205978254417474,0.36009090582619996,0.08269561232275548,0.5625,0.18505108996083108
ngrams_only,random_forest,1149,0.6904761904761905,0.0855104397700126,0.5591054627242269,0.08677986059951012,0.697283527696793,0.10939383796710671,0.22613093546597388,0.08962278916988344,0.5625,0.18505108996083114
ngrams_only,xgboost,1149,0.6334273182957394,0.057320354805449,0.5368721640939522,0.05090375991551256,0.6964978134110786,0.08831704238780622,0.21446122250069616,0.04872144609884798,0.7214285714285714,0.21415339830256053
semantic_only,logistic_regression,24,0.5870927318295739,0.07041744284336127,0.46363110276327346,0.03999023808789531,0.5532463556851311,0.09468545108178797,0.14082706620864513,0.04977713278807097,0.4821428571428572,0.265798970973406
semantic_only,random_forest,24,0.5462406015037593,0.08539011977366129,0.4478292824208621,0.04183325918545198,0.5566763848396501,0.09947927446083203,0.1447086410550646,0.026780288425723477,0.5392857142857144,0.20512840953678982
semantic_only,xgboost,24,0.3507205513784461,0.05876401185783216,0.332374880426035,0.04183193641529396,0.5706501457725948,0.09416130334689235,0.13886316386316383,0.01882334766460871,0.8,0.1535668142533057
morph_only,logistic_regression,12,0.5302631578947368,0.05695424004578058,0.4760243627996112,0.04452659706828885,0.6634467930029155,0.058073361630198064,0.19096720549638008,0.025845470522124485,0.8303571428571429,0.09115114780424732
morph_only,random_forest,12,0.524937343358396,0.05287616716724308,0.46746800951322937,0.03882807931838346,0.6565094752186589,0.06552671922226255,0.1822701862876812,0.022463713438512584,0.7910714285714284,0.1304237164207057
morph_only,xgboost,12,0.5231516290726816,0.05209749981646276,0.46808854537622013,0.04012662578026907,0.6547427113702623,0.06132328016741907,0.18421852530498575,0.02222199842063918,0.8053571428571429,0.10990165156117088
phon_only,logistic_regression,143,0.5230889724310777,0.05444122458751208,0.45744860157734124,0.043319887032115624,0.6806049562682215,0.07729582157501654,0.16880762526097354,0.03225307409301171,0.7035714285714285,0.14290673742307264
phon_only,random_forest,143,0.4983082706766918,0.07149147518183183,0.44300742978035296,0.040619551824492554,0.6838556851311953,0.06646060955757138,0.17007917932867225,0.029324705352488704,0.775,0.2246501437231455
phon_only,xgboost,143,0.293640350877193,0.02849023284765065,0.2916816325289168,0.027115129122290426,0.7134752186588921,0.07754609150595414,0.15029185338251022,0.009682519957586231,0.9857142857142858,0.04517539514526258
morph_phon,logistic_regression,155,0.7599310776942356,0.04198411898399125,0.5926196339648122,0.06323406202893184,0.7568141399416909,0.07856665877274156,0.2558836996336996,0.079223631966411,0.4946428571428572,0.20757515099514587
morph_phon,random_forest,155,0.661936090225564,0.048898603789552596,0.5579882199494128,0.028901912711412663,0.7613666180758016,0.05901503186889053,0.2305086942043464,0.021415313288029262,0.7053571428571428,0.09933523373975378
morph_phon,xgboost,155,0.6387844611528821,0.04746421537201501,0.5448376591665708,0.031967173972562546,0.7560561224489796,0.07443347090566944,0.2223454105807047,0.02409689808206006,0.7339285714285715,0.09760815850998188
all_features,logistic_regression,179,0.8432330827067668,0.041550482588121794,0.6167207073251175,0.09109384720624775,0.7462725947521867,0.09226540654535764,0.36400793650793656,0.16028843246554797,0.3089285714285714,0.18520419875935654
all_features,random_forest,179,0.7082080200501253,0.06180925876073049,0.5682932881571291,0.04280497843443674,0.7346326530612245,0.07219987554692928,0.23744542248630954,0.05809862976575803,0.5482142857142858,0.11543629649617505
all_features,xgboost,179,0.6991541353383459,0.04412045275831665,0.5574499060641036,0.04960389825582383,0.7153148688046647,0.08111324652075022,0.2182671417849436,0.05648585166993247,0.5339285714285714,0.15394703052873993
