feature_set,model,n_features,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,auc_roc_mean,auc_roc_std,precision_mean,precision_std,recall_mean,recall_std
baseline,majority_class,0,0.9519736842105262,0.00850435528973848,0.48768929062507055,0.0022240683078648574,0.5,0.0,0.0,0.0,0.0,0.0
baseline,random_stratified,0,0.8932330827067668,0.0007925507920221326,0.4718029350104822,0.0002209837638132961,0.4691823899371069,0.004296888980162275,0.0,0.0,0.0,0.0
ngrams_only,logistic_regression,1149,0.8968358395989975,0.02984808858513821,0.6085380819882121,0.11181019512442987,0.8130503144654089,0.12732798230398332,0.20785714285714288,0.1723996964289618,0.4333333333333333,0.35311663515712677
ngrams_only,random_forest,1149,0.8238095238095239,0.03893073841606146,0.5669293244132076,0.0825492231136529,0.816072676450035,0.13310764615529733,0.14923742923742925,0.09976517473023451,0.5666666666666667,0.3865006029094686
ngrams_only,xgboost,1149,0.6886904761904761,0.06797179597573998,0.4944183272152979,0.055992954362032284,0.8088195900302818,0.1131196276875589,0.10555854804996681,0.04531689643166589,0.7,0.23306863292670035
semantic_only,logistic_regression,24,0.7633458646616541,0.048776182234237915,0.5219192299491382,0.06320784364583201,0.7222891917074308,0.1925066509940711,0.10951842275371686,0.07143961589085288,0.5999999999999999,0.40975753143523946
semantic_only,random_forest,24,0.7297619047619047,0.04859183134105392,0.5134084236023584,0.03596228968710164,0.738606452364314,0.18061368325740917,0.11145874720245427,0.04505634678429969,0.7,0.3314763086705844
semantic_only,xgboost,24,0.5463032581453634,0.04165339516406193,0.40909754267744064,0.027658130243714354,0.6752009084556254,0.1813029099304375,0.06974817290033027,0.02879701778969623,0.7,0.3314763086705844
morph_only,logistic_regression,12,0.7953007518796993,0.07164065404072917,0.5499707821725924,0.0813148893414457,0.6192522711390634,0.2241166668086734,0.13652597402597402,0.08659351221664519,0.5833333333333333,0.34471315683307935
morph_only,random_forest,12,0.8326441102756892,0.06970843535315277,0.5826329597523141,0.09241303886516922,0.7326869322152341,0.19119401266116925,0.1707936507936508,0.1047838147149104,0.5833333333333333,0.34471315683307935
morph_only,xgboost,12,0.8026942355889723,0.09627985814478748,0.5599856102734532,0.09680430599452701,0.7131784300023293,0.19707819591347378,0.15131469979296067,0.10178223555199943,0.5833333333333333,0.34471315683307935
phon_only,logistic_regression,58,0.9163220551378446,0.025417998397549695,0.6779418920751188,0.08650986168772268,0.7953499883531329,0.17319057942778512,0.325,0.15619906577232834,0.6,0.29606472432164954
phon_only,random_forest,58,0.736936090225564,0.09168434677345644,0.5088936498229332,0.06271015501762184,0.7270352900069881,0.18057757824096082,0.10800825593395254,0.05976748496762392,0.5666666666666667,0.3063121944908938
phon_only,xgboost,58,0.39329573934837087,0.10974497540915838,0.32055424339246563,0.06571142504057567,0.7211507104588865,0.16828410846479833,0.06105167190533044,0.022742116612098243,0.7833333333333333,0.23635608206869607
morph_phon,logistic_regression,70,0.9234649122807017,0.023900518092007588,0.6453489011979571,0.1026280219084811,0.8248718844630794,0.17725357378274983,0.27940476190476193,0.18033874126880986,0.45,0.314760343871451
morph_phon,random_forest,70,0.9163220551378446,0.03749448740396218,0.6979285349286943,0.13374767628161682,0.7925518285581179,0.18319723194558202,0.3397619047619047,0.21432700954242878,0.6666666666666667,0.3424674446093876
morph_phon,xgboost,70,0.8878132832080201,0.053220548345853415,0.6438534514970167,0.09860091756792963,0.7282378290239926,0.20050016278144792,0.2866883116883117,0.19006474348082955,0.5666666666666667,0.2629368792488718
all_features,logistic_regression,94,0.9323308270676691,0.02646825981877747,0.6714510990731473,0.12497981359256549,0.827614721639879,0.1610235086494426,0.3466666666666666,0.22399294521518492,0.45,0.314760343871451
all_features,random_forest,94,0.9073934837092731,0.04264110673453034,0.6762871560523203,0.12224157309625715,0.780814698346145,0.1861261106447542,0.321031746031746,0.21142689315634342,0.6,0.29606472432164954
all_features,xgboost,94,0.8878132832080201,0.05031628070193648,0.639885675262567,0.12120317981652891,0.7610674353598882,0.2116632152455412,0.25976190476190475,0.19931050840433137,0.5666666666666667,0.3063121944908938
