feature_set,model,n_features,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,auc_roc_mean,auc_roc_std,precision_mean,precision_std,recall_mean,recall_std
baseline,majority_class,0,0.5257370744908133,0.003086199269846031,0.3445766633611938,0.0013264079705668857,0.5,0.0,0.0,0.0,0.0,0.0
baseline,random_stratified,0,0.49953710297678383,0.03272797899426937,0.49532802565958506,0.03316920405097189,0.49615520656479906,0.0329892768589806,0.46979638009049773,0.039064100453839075,0.43048245614035086,0.03554087191244232
ngrams_only,logistic_regression,2265,0.75440820395955,0.03600099364301785,0.7536264254638456,0.036144758108951874,0.8292558513218531,0.034068072852041636,0.733797791335246,0.049375622145079845,0.7634711779448621,0.05614620132274028
ngrams_only,random_forest,2265,0.7113730237857855,0.034464336851930205,0.7055678265158762,0.037705686913713087,0.794716341545107,0.04276959738555616,0.6431229387174263,0.03500509387294213,0.8880012531328321,0.032113948397952514
ngrams_only,xgboost,2265,0.7148198262355789,0.04239490837200872,0.7119100113798906,0.04380316504339304,0.8069651374981233,0.034130869794191526,0.65762250235673,0.04561150231426399,0.8417919799498748,0.057329400441503635
semantic_only,logistic_regression,24,0.5670061244836917,0.03155269460125962,0.5658616749748495,0.030899528560542285,0.6087546535309086,0.030761844631823132,0.541622182974683,0.03410142950542803,0.587374686716792,0.05946175259589487
semantic_only,random_forest,24,0.5890400227887767,0.030426179570265218,0.5810901708393966,0.034316155844429166,0.6204687746632326,0.029778924589114155,0.5492813397281333,0.024791561797408115,0.7544172932330826,0.04901866181848332
semantic_only,xgboost,24,0.5814627545933628,0.02194417473388742,0.5798939502906446,0.022119565097827816,0.6196112400817713,0.023646238535325867,0.5495031831602484,0.021623928292986736,0.6585213032581454,0.05103643185847796
morph_only,logistic_regression,12,0.5687152827232588,0.032618500052302185,0.5665837248042888,0.03410513342154384,0.5869823849177476,0.05241375083319818,0.5372001029625965,0.028163533013986046,0.6672305764411028,0.0241865998927977
morph_only,random_forest,12,0.5695912263210369,0.03143491361257732,0.5676057710367575,0.03227301914230351,0.6112693889100631,0.049809525532005586,0.5393528065416299,0.028322137842870358,0.6404761904761905,0.06648352261757758
morph_only,xgboost,12,0.5645349665289845,0.037751312570113264,0.5624475335345752,0.03866216387253033,0.6103491736253075,0.05225215358610416,0.5340929524786558,0.03519519546928842,0.6136278195488721,0.0949875800336455
phon_only,logistic_regression,1913,0.7712861415752743,0.040758423345256714,0.7709114873997491,0.04067778056430045,0.8453078861708804,0.037158148239851904,0.7476679215171596,0.053238204093250356,0.7864348370927317,0.04305185876137366
phon_only,random_forest,1913,0.7106110240706451,0.04842266139490595,0.7071258997423542,0.049698596307415584,0.794970228470562,0.040522123295734944,0.7116776406222961,0.05812716396226352,0.6637531328320802,0.09679533539660752
phon_only,xgboost,1913,0.7528058681099559,0.033646797417211036,0.7521155935576894,0.03394678158962441,0.8364749238688118,0.03668096043895632,0.7288166374923934,0.04335970919228034,0.768765664160401,0.05055757513020226
morph_phon,logistic_regression,1925,0.7772254664577696,0.03363896443187704,0.7765937080210762,0.03352679812869682,0.848792079084039,0.03829553874702993,0.7600090529208574,0.05048729926239085,0.7811716791979949,0.04270602874654742
morph_phon,random_forest,1925,0.7384275744195983,0.05114095673113142,0.7366975189129807,0.05107315816352045,0.8134183264420652,0.0361899628265596,0.7362799976112371,0.06266310816550706,0.7046365914786967,0.06465819335612534
morph_phon,xgboost,1925,0.7629326306793904,0.0387283281649072,0.7619370366918912,0.03886126508102611,0.8524340565314976,0.02954002543707357,0.7477061283149411,0.054466544862456015,0.7634398496240602,0.058427938886227666
all_features,logistic_regression,1949,0.7696197122916963,0.021021904377404345,0.7690641876306403,0.02080573163576057,0.8445844714512857,0.0344068991746077,0.7473660759557783,0.039867232361185605,0.7830200501253132,0.039420107917390965
all_features,random_forest,1949,0.74015809713716,0.03663088049180037,0.7375914512140398,0.03763379921600982,0.8075887804187889,0.03565079721465714,0.743995630507338,0.04765130911399114,0.693984962406015,0.07445731263566778
all_features,xgboost,1949,0.7561458481697764,0.029012851961399775,0.7553592281642384,0.029029029809823005,0.8463711963279936,0.027929436910640554,0.7392964496285303,0.042920462186953286,0.756296992481203,0.04555191231243039
