feature_set,model,n_features,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,auc_roc_mean,auc_roc_std,precision_mean,precision_std,recall_mean,recall_std
baseline,majority_class,0,0.9323934837092732,0.007414810487300578,0.48250023167454364,0.0019750464422429973,0.5,0.0,0.0,0.0,0.0,0.0
baseline,random_stratified,0,0.8291979949874687,0.012152983883403749,0.46321537875792584,0.034348788525305755,0.45620464441219155,0.04241958224846995,0.016666666666666666,0.05270462766947298,0.025,0.07905694150420949
ngrams_only,logistic_regression,1149,0.8702380952380953,0.03881448445622915,0.6628225946622134,0.07317378081720002,0.8948476052249636,0.06804462777435413,0.30381285381285383,0.10470759289389693,0.65,0.2539806544591658
ngrams_only,random_forest,1149,0.7919172932330827,0.05710866362277696,0.5874299578118003,0.09584624832957461,0.880906809385583,0.07142285665028415,0.19246256194785605,0.1148449258336396,0.675,0.34347983210332506
ngrams_only,xgboost,1149,0.7153822055137844,0.053058590956051394,0.5562234458076533,0.051333179295988386,0.8599434567005323,0.07938863585188054,0.1772008281573499,0.05216996482599994,0.8583333333333332,0.21889875894272828
semantic_only,logistic_regression,24,0.743828320802005,0.04955314497634462,0.4799606874561276,0.052346378728508725,0.551722000483793,0.15713734596315562,0.07177173703489494,0.06648776557509943,0.25,0.23570226039551584
semantic_only,random_forest,24,0.611967418546366,0.06787934578761448,0.43555922462106256,0.04382954650943115,0.5362073657474601,0.14503685885685347,0.07273978484100396,0.04168508974804039,0.41666666666666663,0.2324055629261321
semantic_only,xgboost,24,0.36293859649122806,0.09633709100126078,0.3084681147575,0.06391377841845913,0.5634781688437349,0.17177803549392803,0.07243275566304494,0.033451787781013605,0.7333333333333333,0.35092470438563905
morph_only,logistic_regression,12,0.69937343358396,0.06258684500126285,0.5153026260933116,0.04293549781441843,0.6612255079825834,0.08310506621819248,0.13390356689421162,0.031596005212052226,0.6083333333333333,0.11817804103434804
morph_only,random_forest,12,0.7510025062656641,0.056081252833234264,0.5544891045202116,0.05446494162727119,0.6895485607160137,0.11231074830677791,0.1645301757066463,0.05448917861517021,0.6416666666666666,0.20805537012304448
morph_only,xgboost,12,0.7545739348370928,0.055883612846794335,0.568623137066411,0.05399101858263286,0.7097620343492986,0.13921467028875595,0.18048255665902724,0.05270485577969365,0.7166666666666666,0.18509256943286315
phon_only,logistic_regression,75,0.7332080200501253,0.06511991705729202,0.5702049862943284,0.06027463336460256,0.8694439404934687,0.07061928523335974,0.18879135424632798,0.05464318005759199,0.8416666666666666,0.138610832776385
phon_only,random_forest,75,0.6442355889724312,0.1029971136101702,0.5071900523067135,0.07416804561961846,0.8686759192065796,0.07975763301009556,0.1499343111733685,0.046711070240909945,0.8416666666666666,0.138610832776385
phon_only,xgboost,75,0.5606516290726816,0.06272677778831341,0.45684955703899216,0.04443482969499574,0.8704961901306241,0.07480372925837929,0.12659627307366766,0.027340351235008522,0.9166666666666666,0.13608276348795434
morph_phon,logistic_regression,87,0.8594611528822055,0.039734225233254636,0.6355809380128116,0.09742803221788958,0.8804789550072568,0.06121601641903757,0.254006549006549,0.12990601873414884,0.5916666666666666,0.3129163892586431
morph_phon,random_forest,87,0.800689223057644,0.05853373487589043,0.6027094040942335,0.051058107189883586,0.8717495162070634,0.04790157225018241,0.21605476223123282,0.05965155005069238,0.6833333333333333,0.15614965913950218
morph_phon,xgboost,87,0.8114348370927317,0.0410594799073881,0.6012829033818363,0.04999070386801069,0.8548530478955007,0.0808332319760327,0.20981643356643356,0.06116214446174696,0.6333333333333333,0.16759003476664838
all_features,logistic_regression,111,0.8950501253132833,0.03177178472209545,0.6480115051376434,0.07513656672867165,0.8474147314949201,0.0671330193064811,0.32285714285714284,0.13996274204586637,0.425,0.1861318396416773
all_features,random_forest,111,0.8469298245614034,0.04926116539704075,0.6425271323418739,0.07227957375472038,0.8703344218674406,0.06987129788323489,0.2654274891774892,0.09030052254735632,0.6583333333333333,0.227201167185317
all_features,xgboost,111,0.8646929824561405,0.052874156294292866,0.6638575793140267,0.08849068479205555,0.8769502902757621,0.06874558271607992,0.3082215007215007,0.143886420342518,0.625,0.15340779190537862
