feature_set,model,n_features,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,auc_roc_mean,auc_roc_std,precision_mean,precision_std,recall_mean,recall_std
baseline,majority_class,0,0.8185463659147869,0.00607622273883649,0.45010470207500475,0.001846116788727012,0.5,0.0,0.0,0.0,0.0,0.0
baseline,random_stratified,0,0.7402882205513784,0.030743284274052894,0.575815488858967,0.04876083529584233,0.5785770750988142,0.050364565645510735,0.29999999999999993,0.07484296384986952,0.3245454545454546,0.08299379865534137
ngrams_only,logistic_regression,1149,0.9217418546365914,0.03581423769625652,0.8722038430485842,0.057597621687431315,0.9386363636363635,0.06049470278786271,0.7694977244977246,0.09961613009004655,0.8236363636363636,0.11135693651254161
ngrams_only,random_forest,1149,0.9217418546365914,0.032711994554755534,0.8676886821273364,0.053094651357910735,0.9211857707509882,0.05904111746778065,0.8026892551892552,0.11370780004851125,0.7745454545454546,0.10121393574856843
ngrams_only,xgboost,1149,0.9235588972431078,0.0249959953074169,0.8747135488914326,0.038277423521021536,0.9198122529644268,0.06657483979967735,0.7821806298276887,0.08355489467452333,0.8227272727272729,0.10006884682399012
semantic_only,logistic_regression,24,0.687155388471178,0.06511439055626228,0.6046235111719678,0.07511710212172472,0.77050395256917,0.07814692081643708,0.32067460317460317,0.0837542828841322,0.6409090909090909,0.183088993199128
semantic_only,random_forest,24,0.7084586466165413,0.06607201532495012,0.6211894131796729,0.08244870363104038,0.7547332015810276,0.08063108505652297,0.33814241486068114,0.09363439929459727,0.6309090909090909,0.1760290484417751
semantic_only,xgboost,24,0.7209273182957394,0.07056762501185258,0.6281933411609704,0.08289238626885015,0.7595158102766799,0.07631005298357313,0.35180270194202085,0.09910815462460185,0.610909090909091,0.17864915008084908
morph_only,logistic_regression,12,0.8362781954887218,0.04521327840660883,0.7878496459612703,0.048438079703626034,0.9272134387351778,0.03534343699287631,0.5346474195738902,0.0732591200523896,0.9709090909090909,0.046906115323368115
morph_only,random_forest,12,0.8416666666666666,0.0430830416957596,0.7923957767379645,0.04727431724996941,0.9221541501976285,0.040505660239979854,0.5440743589579233,0.07543000448969642,0.9618181818181817,0.06827266674734031
morph_only,xgboost,12,0.8505952380952382,0.04436604713741212,0.8020177633825851,0.048006813588179764,0.928498023715415,0.02590919224393587,0.5600398855194252,0.07593532639119796,0.9618181818181817,0.06827266674734031
phon_only,logistic_regression,101,0.9324248120300753,0.027517471324308387,0.888524039956734,0.04582325342282345,0.9407806324110674,0.043706631891268694,0.8018492618492619,0.07957965604608366,0.8436363636363637,0.10442900849145666
phon_only,random_forest,101,0.9110902255639098,0.0334220312438788,0.8491725452469178,0.06353290002936174,0.919021739130435,0.045293681716408254,0.7527455877455878,0.09221407673853621,0.7663636363636364,0.15769517619458537
phon_only,xgboost,101,0.9164160401002507,0.02903196238095232,0.8596633084490357,0.05505735983184022,0.9302470355731225,0.044404765018651905,0.7603707403707404,0.0712994685251394,0.7945454545454546,0.14846629444993611
morph_phon,logistic_regression,113,0.9413220551378446,0.0187394983056699,0.9065925835855033,0.02890998042310641,0.9789723320158104,0.014612096956257564,0.8036186036186036,0.07427775605212888,0.9136363636363637,0.09312945067048066
morph_phon,random_forest,113,0.9270989974937341,0.03288762504177703,0.8931243758952869,0.0448425719484763,0.97550395256917,0.016745858638826255,0.7357900432900434,0.10657618363027943,0.9709090909090909,0.046906115323368115
morph_phon,xgboost,113,0.9590852130325812,0.02066307999848562,0.9346269800792942,0.03302641444052606,0.9748221343873519,0.01872174302279162,0.847948717948718,0.07347246379878979,0.9518181818181818,0.06653568399873155
all_features,logistic_regression,137,0.9430451127819548,0.020313704522215596,0.9098151001973791,0.030770683575091502,0.9776679841897232,0.013111505970776618,0.802983682983683,0.07309744400405734,0.9227272727272728,0.07572726666424119
all_features,random_forest,137,0.9217418546365914,0.035814237696256516,0.8854324487452715,0.04981510421873486,0.9768379446640317,0.015512903865663697,0.7205519480519481,0.10358648010382221,0.9618181818181817,0.049385572818093006
all_features,xgboost,137,0.9395363408521303,0.02398703050252827,0.903159013802093,0.03670583211719367,0.9720355731225296,0.015830643995703053,0.8052292152292152,0.08130610780879702,0.8945454545454545,0.07904387316103328
