recordID,analysisPluralPattern
7,Internal
8,External
9,External
10,External
41,External
44,External
47,Internal
48,Internal
49,External
51,Internal
54,External
55,External
56,Internal
58,External
60,External
61,External
62,External
63,External
64,Internal
65,External
66,Internal
68,Internal
70,External
78,External
79,Internal
83,External
84,Internal
88,External
91,External
92,Internal
95,External
97,External
99,Mixed
100,External
111,External
113,External
114,External
115,Mixed
121,Mixed
123,External
129,Internal
130,Mixed
131,External
140,Internal
142,External
143,External
147,Internal
150,Internal
154,Internal
159,Mixed
160,Mixed
162,External
165,External
166,Internal
169,Internal
170,External
171,External
173,Internal
177,External
179,External
180,External
182,Internal
183,External
184,External
185,External
192,Internal
196,External
198,External
206,Internal
209,External
210,External
211,Internal
213,Internal
214,External
215,Internal
216,External
219,Internal
220,External
231,Mixed
233,External
234,External
235,Internal
238,External
240,External
242,External
243,Mixed
244,Internal
245,External
246,External
247,Internal
248,Internal
250,Mixed
251,Mixed
252,External
255,Internal
256,External
257,External
258,External
261,External
262,External
263,External
264,External
265,External
266,External
268,Internal
269,External
271,External
272,External
273,External
274,External
275,Mixed
276,External
277,External
278,External
281,External
282,Internal
283,Mixed
285,Internal
286,External
288,External
290,Internal
293,Internal
294,External
295,External
296,External
297,Mixed
298,External
299,Mixed
301,External
304,Mixed
305,Internal
306,Mixed
307,Mixed
308,External
309,External
310,External
311,External
313,Internal
318,Mixed
319,External
323,Mixed
325,Internal
326,External
327,External
328,Mixed
331,External
332,Mixed
333,Internal
334,External
339,Internal
342,External
343,External
344,External
345,Mixed
346,Internal
351,Internal
352,Mixed
353,External
354,External
356,External
357,External
359,External
360,Mixed
363,External
364,External
365,External
367,Mixed
369,Mixed
370,External
371,Internal
375,External
378,External
379,External
380,Internal
384,Mixed
385,Internal
386,Internal
387,External
388,Mixed
389,Mixed
390,Internal
392,Mixed
394,External
397,Internal
398,Mixed
399,External
400,Mixed
401,Internal
402,External
403,Internal
405,External
406,Mixed
408,Mixed
411,Internal
412,Internal
417,External
418,External
419,Mixed
420,Internal
421,External
423,External
424,Mixed
425,External
428,External
430,Mixed
431,External
432,External
435,External
436,Internal
437,External
438,External
439,External
442,External
444,Mixed
445,Internal
447,External
449,External
451,External
453,External
454,Mixed
459,Mixed
460,Mixed
464,External
466,External
467,External
470,Mixed
471,External
472,Mixed
473,Internal
475,Mixed
478,External
479,External
480,External
483,External
486,External
490,External
491,External
496,Mixed
497,External
498,External
499,External
501,External
503,External
504,External
505,Mixed
506,External
507,Internal
509,Mixed
510,External
511,Internal
512,Internal
517,Internal
518,External
521,External
522,External
528,Internal
529,External
530,External
531,Mixed
532,External
535,Internal
536,Internal
537,External
538,External
539,Internal
544,Mixed
552,External
553,External
554,External
556,Mixed
557,Mixed
560,External
561,External
562,Internal
565,External
568,External
569,External
570,Mixed
571,Internal
574,External
578,External
579,External
581,Internal
583,Internal
584,External
586,External
593,External
594,External
595,External
596,External
608,Mixed
618,External
619,External
620,Internal
623,Internal
629,External
632,External
634,External
642,Internal
643,Mixed
650,Internal
664,Internal
665,External
668,External
675,External
678,External
680,Mixed
681,External
682,External
690,External
692,External
694,External
706,External
707,Internal
709,External
710,External
711,Internal
713,External
715,Internal
716,Mixed
717,Mixed
720,Mixed
721,External
722,Internal
730,External
734,External
738,External
739,External
748,External
751,External
752,External
755,Mixed
757,External
758,External
759,External
760,External
763,External
765,Internal
768,Internal
772,External
773,Mixed
774,External
778,Mixed
780,Internal
784,External
793,External
794,External
795,Mixed
798,External
934,Mixed
937,External
960,External
961,External
968,External
969,Mixed
970,Internal
971,Internal
972,External
973,External
975,Mixed
984,External
987,External
988,Mixed
989,Internal
992,Mixed
993,External
994,External
995,External
997,External
998,Mixed
1002,External
1008,External
1010,Mixed
1011,External
1012,Mixed
1015,Mixed
1018,External
1019,Internal
1020,External
1021,Mixed
1022,External
1023,External
1024,Mixed
1026,External
1027,Internal
1028,Internal
1029,Internal
1030,Internal
1031,Internal
1032,External
1035,Mixed
1037,External
1038,External
1041,Internal
1044,Mixed
1046,Mixed
1047,External
1049,Mixed
1053,Internal
1056,External
1057,External
1058,External
1059,Mixed
1060,Internal
1061,External
1062,Internal
1063,External
1064,External
1065,External
1066,External
1067,External
1068,Mixed
1069,External
1071,External
1072,External
1074,External
1076,External
1078,External
1079,Internal
1082,Mixed
1084,Mixed
1085,External
1086,Internal
1088,Internal
1089,External
1091,External
1092,External
1096,Mixed
1099,Internal
1100,Mixed
1101,External
1104,External
1105,External
1106,External
1108,Internal
1110,Internal
1111,External
1112,External
1113,External
1117,Internal
1119,External
1120,Internal
1121,Internal
1122,Mixed
1123,Internal
1125,Mixed
1126,Mixed
1129,External
1130,Internal
1131,Internal
1136,Mixed
1139,Mixed
1140,Mixed
1141,External
1142,Internal
1145,External
1146,Internal
1147,Mixed
1148,External
1150,Mixed
1151,External
1153,Internal
1154,Internal
1156,Mixed
1157,External
1162,External
1163,Internal
1164,Internal
1166,External
1167,Internal
1168,External
1169,External
1170,External
1176,Internal
1177,Mixed
1179,Internal
1180,External
1181,External
1184,External
1188,External
1190,Internal
1191,Mixed
1192,Internal
1196,Mixed
1198,External
1199,External
1201,Internal
1207,Mixed
1212,External
1213,Internal
1218,External
1219,External
1220,External
1225,External
1226,External
1229,External
1230,External
1231,Internal
1232,Mixed
1233,Mixed
1234,Internal
1235,External
1240,External
1241,Internal
1244,External
1245,External
1248,Internal
1249,Mixed
1250,External
1252,External
1257,Mixed
1258,Internal
1264,Mixed
1265,Mixed
1266,External
1268,External
1269,External
1270,Internal
1272,External
1273,Internal
1274,Mixed
1275,Mixed
1276,External
1278,External
1280,Internal
1281,Mixed
1282,External
1283,External
1284,External
1285,Internal
1286,Internal
1290,External
1293,External
1294,External
1295,External
1297,Mixed
1300,External
1301,External
1303,Internal
1305,Internal
1306,Mixed
1307,External
1308,Internal
1309,External
1311,Internal
1315,Mixed
1317,Internal
1321,Internal
1324,External
1326,Internal
1330,External
1331,External
1332,External
1333,External
1334,Internal
1337,External
1340,Internal
1341,External
1342,External
1343,External
1345,External
1347,External
1350,External
1355,Internal
1357,Internal
1363,External
1367,External
1368,Internal
1369,External
1370,External
1373,External
1376,External
1381,External
1382,Mixed
1383,External
1384,External
1387,Mixed
1388,Mixed
1389,External
1394,External
1397,External
1398,External
1403,Internal
1406,External
1407,Internal
1408,External
1409,Internal
1410,External
1411,Mixed
1412,Internal
1413,Internal
1414,External
1415,External
1416,External
1417,External
1418,Mixed
1420,External
1423,Mixed
1425,Internal
1427,External
1429,Internal
1430,External
1432,Mixed
1433,Internal
1434,Internal
1435,Internal
1436,External
1438,External
1441,External
1443,Internal
1446,External
1447,External
1448,External
1449,Mixed
1454,Mixed
1456,External
1457,External
1458,External
1462,Mixed
1463,External
1464,External
1465,Mixed
1466,External
1467,External
1468,External
1469,External
1471,External
1472,External
1473,Mixed
1474,Mixed
1475,Mixed
1476,Internal
1477,Mixed
1478,Internal
1479,Internal
1480,External
1481,External
1483,External
1484,External
1486,Mixed
1487,External
1488,Mixed
1491,External
1492,External
1493,External
1494,Internal
1495,Internal
1497,Mixed
1499,Internal
1500,External
1501,External
1502,Mixed
1504,Internal
1505,Mixed
1507,External
1508,External
1509,Internal
1510,Mixed
1511,External
1513,External
1516,Mixed
1517,Internal
1518,External
1520,Internal
1527,External
1528,Internal
1529,External
1530,Internal
1531,External
1532,External
1534,External
1540,Mixed
1545,External
1546,External
1553,Internal
1554,Mixed
1555,External
1556,Internal
1557,Mixed
1560,Internal
1561,Mixed
1562,External
1566,External
1571,Mixed
1573,Internal
1574,Mixed
1575,Internal
1576,External
1578,External
1581,Internal
1582,Mixed
1585,Internal
1586,External
1587,Internal
1592,Internal
1593,Mixed
1597,External
1600,External
1602,Mixed
1603,Internal
1604,Internal
1605,Mixed
1606,External
1611,Mixed
1612,Internal
1613,Internal
1614,External
1617,Internal
1621,Internal
1624,Internal
1626,External
1627,External
1628,External
1634,External
1637,Internal
1638,Internal
1640,Mixed
1643,External
1644,External
1645,Internal
1647,Internal
1648,Mixed
1649,Mixed
