recordID,analysisPluralPattern
7,1
8,0
9,0
10,0
41,0
44,0
47,1
48,1
49,0
51,1
54,0
55,0
56,1
58,0
60,0
61,0
62,0
63,0
64,1
65,0
66,1
68,1
70,0
78,0
79,1
83,0
84,1
88,0
91,0
92,1
95,0
97,0
99,1
100,0
111,0
113,0
114,0
115,1
121,1
123,0
129,1
130,1
131,0
140,1
142,0
143,0
147,1
150,1
154,1
159,1
160,1
162,0
165,0
166,1
169,1
170,0
171,0
173,1
177,0
179,0
180,0
182,1
183,0
184,0
185,0
192,1
196,0
198,0
206,1
209,0
210,0
211,1
213,1
214,0
215,1
216,0
219,1
220,0
231,1
233,0
234,0
235,1
238,0
240,0
242,0
243,1
244,1
245,0
246,0
247,1
248,1
250,1
251,1
252,0
255,1
256,0
257,0
258,0
261,0
262,0
263,0
264,0
265,0
266,0
268,1
269,0
271,0
272,0
273,0
274,0
275,1
276,0
277,0
278,0
281,0
282,1
283,1
285,1
286,0
288,0
290,1
293,1
294,0
295,0
296,0
297,1
298,0
299,1
301,0
304,1
305,1
306,1
307,1
308,0
309,0
310,0
311,0
313,1
318,1
319,0
323,1
325,1
326,0
327,0
328,1
331,0
332,1
333,1
334,0
339,1
342,0
343,0
344,0
345,1
346,1
351,1
352,1
353,0
354,0
356,0
357,0
359,0
360,1
363,0
364,0
365,0
367,1
369,1
370,0
371,1
375,0
378,0
379,0
380,1
384,1
385,1
386,1
387,0
388,1
389,1
390,1
392,1
394,0
397,1
398,1
399,0
400,1
401,1
402,0
403,1
405,0
406,1
408,1
411,1
412,1
417,0
418,0
419,1
420,1
421,0
423,0
424,1
425,0
428,0
430,1
431,0
432,0
435,0
436,1
437,0
438,0
439,0
442,0
444,1
445,1
447,0
449,0
451,0
453,0
454,1
459,1
460,1
464,0
466,0
467,0
470,1
471,0
472,1
473,1
475,1
478,0
479,0
480,0
483,0
486,0
490,0
491,0
496,1
497,0
498,0
499,0
501,0
503,0
504,0
505,1
506,0
507,1
509,1
510,0
511,1
512,1
517,1
518,0
521,0
522,0
528,1
529,0
530,0
531,1
532,0
535,1
536,1
537,0
538,0
539,1
544,1
552,0
553,0
554,0
556,1
557,1
560,0
561,0
562,1
565,0
568,0
569,0
570,1
571,1
574,0
578,0
579,0
581,1
583,1
584,0
586,0
593,0
594,0
595,0
596,0
608,1
618,0
619,0
620,1
623,1
629,0
632,0
634,0
642,1
643,1
650,1
664,1
665,0
668,0
675,0
678,0
680,1
681,0
682,0
690,0
692,0
694,0
706,0
707,1
709,0
710,0
711,1
713,0
715,1
716,1
717,1
720,1
721,0
722,1
730,0
734,0
738,0
739,0
748,0
751,0
752,0
755,1
757,0
758,0
759,0
760,0
763,0
765,1
768,1
772,0
773,1
774,0
778,1
780,1
784,0
793,0
794,0
795,1
798,0
934,1
937,0
960,0
961,0
968,0
969,1
970,1
971,1
972,0
973,0
975,1
984,0
987,0
988,1
989,1
992,1
993,0
994,0
995,0
997,0
998,1
1002,0
1008,0
1010,1
1011,0
1012,1
1015,1
1018,0
1019,1
1020,0
1021,1
1022,0
1023,0
1024,1
1026,0
1027,1
1028,1
1029,1
1030,1
1031,1
1032,0
1035,1
1037,0
1038,0
1041,1
1044,1
1046,1
1047,0
1049,1
1053,1
1056,0
1057,0
1058,0
1059,1
1060,1
1061,0
1062,1
1063,0
1064,0
1065,0
1066,0
1067,0
1068,1
1069,0
1071,0
1072,0
1074,0
1076,0
1078,0
1079,1
1082,1
1084,1
1085,0
1086,1
1088,1
1089,0
1091,0
1092,0
1096,1
1099,1
1100,1
1101,0
1104,0
1105,0
1106,0
1108,1
1110,1
1111,0
1112,0
1113,0
1117,1
1119,0
1120,1
1121,1
1122,1
1123,1
1125,1
1126,1
1129,0
1130,1
1131,1
1136,1
1139,1
1140,1
1141,0
1142,1
1145,0
1146,1
1147,1
1148,0
1150,1
1151,0
1153,1
1154,1
1156,1
1157,0
1162,0
1163,1
1164,1
1166,0
1167,1
1168,0
1169,0
1170,0
1176,1
1177,1
1179,1
1180,0
1181,0
1184,0
1188,0
1190,1
1191,1
1192,1
1196,1
1198,0
1199,0
1201,1
1207,1
1212,0
1213,1
1218,0
1219,0
1220,0
1225,0
1226,0
1229,0
1230,0
1231,1
1232,1
1233,1
1234,1
1235,0
1240,0
1241,1
1244,0
1245,0
1248,1
1249,1
1250,0
1252,0
1257,1
1258,1
1264,1
1265,1
1266,0
1268,0
1269,0
1270,1
1272,0
1273,1
1274,1
1275,1
1276,0
1278,0
1280,1
1281,1
1282,0
1283,0
1284,0
1285,1
1286,1
1290,0
1293,0
1294,0
1295,0
1297,1
1300,0
1301,0
1303,1
1305,1
1306,1
1307,0
1308,1
1309,0
1311,1
1315,1
1317,1
1321,1
1324,0
1326,1
1330,0
1331,0
1332,0
1333,0
1334,1
1337,0
1340,1
1341,0
1342,0
1343,0
1345,0
1347,0
1350,0
1355,1
1357,1
1363,0
1367,0
1368,1
1369,0
1370,0
1373,0
1376,0
1381,0
1382,1
1383,0
1384,0
1387,1
1388,1
1389,0
1394,0
1397,0
1398,0
1403,1
1406,0
1407,1
1408,0
1409,1
1410,0
1411,1
1412,1
1413,1
1414,0
1415,0
1416,0
1417,0
1418,1
1420,0
1423,1
1425,1
1427,0
1429,1
1430,0
1432,1
1433,1
1434,1
1435,1
1436,0
1438,0
1441,0
1443,1
1446,0
1447,0
1448,0
1449,1
1454,1
1456,0
1457,0
1458,0
1462,1
1463,0
1464,0
1465,1
1466,0
1467,0
1468,0
1469,0
1471,0
1472,0
1473,1
1474,1
1475,1
1476,1
1477,1
1478,1
1479,1
1480,0
1481,0
1483,0
1484,0
1486,1
1487,0
1488,1
1491,0
1492,0
1493,0
1494,1
1495,1
1497,1
1499,1
1500,0
1501,0
1502,1
1504,1
1505,1
1507,0
1508,0
1509,1
1510,1
1511,0
1513,0
1516,1
1517,1
1518,0
1520,1
1527,0
1528,1
1529,0
1530,1
1531,0
1532,0
1534,0
1540,1
1545,0
1546,0
1553,1
1554,1
1555,0
1556,1
1557,1
1560,1
1561,1
1562,0
1566,0
1571,1
1573,1
1574,1
1575,1
1576,0
1578,0
1581,1
1582,1
1585,1
1586,0
1587,1
1592,1
1593,1
1597,0
1600,0
1602,1
1603,1
1604,1
1605,1
1606,0
1611,1
1612,1
1613,1
