recordID,analysisPluralPattern
7,0
8,1
9,1
10,1
41,1
44,1
47,0
48,0
49,1
51,0
54,1
55,1
56,0
58,1
60,1
61,1
62,1
63,1
64,0
65,1
66,0
68,0
70,1
78,1
79,0
83,1
84,0
88,1
91,1
92,0
95,1
97,1
99,1
100,1
111,1
113,1
114,1
115,1
121,1
123,1
129,0
130,1
131,1
140,0
142,1
143,1
147,0
150,0
154,0
159,1
160,1
162,1
165,1
166,0
169,0
170,1
171,1
173,0
177,1
179,1
180,1
182,0
183,1
184,1
185,1
192,0
196,1
198,1
206,0
209,1
210,1
211,0
213,0
214,1
215,0
216,1
219,0
220,1
231,1
233,1
234,1
235,0
238,1
240,1
242,1
243,1
244,0
245,1
246,1
247,0
248,0
250,1
251,1
252,1
255,0
256,1
257,1
258,1
261,1
262,1
263,1
264,1
265,1
266,1
268,0
269,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
281,1
282,0
283,1
285,0
286,1
288,1
290,0
293,0
294,1
295,1
296,1
297,1
298,1
299,1
301,1
304,1
305,0
306,1
307,1
308,1
309,1
310,1
311,1
313,0
318,1
319,1
323,1
325,0
326,1
327,1
328,1
331,1
332,1
333,0
334,1
339,0
342,1
343,1
344,1
345,1
346,0
351,0
352,1
353,1
354,1
356,1
357,1
359,1
360,1
363,1
364,1
365,1
367,1
369,1
370,1
371,0
375,1
378,1
379,1
380,0
384,1
385,0
386,0
387,1
388,1
389,1
390,0
392,1
394,1
397,0
398,1
399,1
400,1
401,0
402,1
403,0
405,1
406,1
408,1
411,0
412,0
417,1
418,1
419,1
420,0
421,1
423,1
424,1
425,1
428,1
430,1
431,1
432,1
435,1
436,0
437,1
438,1
439,1
442,1
444,1
445,0
447,1
449,1
451,1
453,1
454,1
459,1
460,1
464,1
466,1
467,1
470,1
471,1
472,1
473,0
475,1
478,1
479,1
480,1
483,1
486,1
490,1
491,1
496,1
497,1
498,1
499,1
501,1
503,1
504,1
505,1
506,1
507,0
509,1
510,1
511,0
512,0
517,0
518,1
521,1
522,1
528,0
529,1
530,1
531,1
532,1
535,0
536,0
537,1
538,1
539,0
544,1
552,1
553,1
554,1
556,1
557,1
560,1
561,1
562,0
565,1
568,1
569,1
570,1
571,0
574,1
578,1
579,1
581,0
583,0
584,1
586,1
593,1
594,1
595,1
596,1
608,1
618,1
619,1
620,0
623,0
629,1
632,1
634,1
642,0
643,1
650,0
664,0
665,1
668,1
675,1
678,1
680,1
681,1
682,1
690,1
692,1
694,1
706,1
