LH Pattern,Count,Percentage,ends_L,less_2_syllables,final_2,Heavy-count
H,57,3.06%,0,1,H,1
HH,328,17.60%,0,1,HH,2
HHH,2,0.11%,0,0,HH,3
HHL,22,1.18%,1,0,HL,2
HL,228,12.23%,1,1,HL,1
HLH,10,0.54%,0,0,LH,2
HLL,42,2.25%,1,0,LL,1
L,4,0.21%,1,1,L,0
LH,533,28.59%,0,1,LH,1
LHH,21,1.13%,0,0,HH,2
LHHH,1,0.05%,0,0,HH,3
LHL,85,4.56%,1,0,HL,1
LL,246,13.20%,1,1,LL,0
LLH,102,5.47%,0,0,LH,1
LLHH,1,0.05%,0,0,HH,2
LLHL,1,0.05%,1,0,HL,1
LLHLL,1,0.05%,1,0,LL,1
LLL,153,8.21%,1,0,LL,0
LLLH,2,0.11%,0,0,LH,1
LLLL,21,1.13%,1,0,LL,0
LLLLL,4,0.21%,1,0,LL,0
