Domain,M+P vs Ngr (Δ),p-value,Sig.,M+P vs LSTM (Δ),p-value ,Sig. 
has_suffix,+0.036,0.018306,*,+0.062,<0.001,***
has_mutation,+0.023,0.044128,*,+0.378,<0.001,***
3way,+0.068,<0.001,***,+0.445,<0.001,***
medial_a,+0.037,0.066673,,+0.042,0.426048,
final_a,-0.067,0.047841,*,+0.135,<0.001,***
final_vw,+0.037,0.155691,,+0.126,0.004575,**
ablaut,+0.021,0.197224,,+0.025,0.179924,
insert_c,-0.027,0.547419,,+0.124,0.013090,*
templatic,+0.034,0.054320,,+0.059,0.485936,
8way,+0.051,0.006349,**,+0.383,<0.001,***
