Feature Set,Model,Accuracy,Macro-F1,AUC-ROC
Semantic,LogReg,22.2 ± 4.6,17.2 ± 6.0,65.5 ± 6.1
Semantic,RandForest,22.2 ± 5.1,17.2 ± 5.6,67.0 ± 4.9
Semantic,XGBoost,45.4 ± 2.3,14.2 ± 2.1,66.8 ± 6.7
Morphological,LogReg,31.3 ± 8.7,19.2 ± 5.2,71.1 ± 6.2
Morphological,RandForest,28.6 ± 3.1,22.3 ± 2.7,73.4 ± 4.5
Morphological,XGBoost,50.4 ± 4.5,19.9 ± 4.8,73.9 ± 1.8
Phonological,LogReg,60.1 ± 6.3,43.9 ± 6.4,81.7 ± 4.2
Phonological,RandForest,48.6 ± 5.5,37.0 ± 4.9,78.1 ± 4.8
Phonological,XGBoost,62.5 ± 6.3,39.8 ± 9.9,82.9 ± 2.7
Morph+Phon,LogReg,64.8 ± 9.0,46.9 ± 8.9,85.1 ± 6.3
Morph+Phon,RandForest,56.4 ± 7.1,42.2 ± 6.2,82.2 ± 5.0
Morph+Phon,XGBoost,67.6 ± 5.4,45.8 ± 10.4,87.2 ± 2.6
All Features,LogReg,64.4 ± 6.9,46.4 ± 7.5,86.4 ± 6.5
All Features,RandForest,56.4 ± 8.0,44.7 ± 10.1,86.0 ± 4.9
All Features,XGBoost,66.7 ± 7.3,44.9 ± 12.5,88.1 ± 3.6
N-grams Only,LogReg,57.7 ± 7.0,41.8 ± 6.7,80.8 ± 4.1
N-grams Only,RandForest,45.0 ± 6.3,35.0 ± 7.2,77.6 ± 5.9
N-grams Only,XGBoost,58.9 ± 6.5,38.6 ± 8.9,81.5 ± 3.7
