Feature Set,Model,Accuracy,Macro-F1,AUC-ROC
Semantic,LogReg,52.2 ± 3.9,60.2 ± 5.0,55.2 ± 4.2
Semantic,RandForest,56.1 ± 5.7,63.5 ± 7.2,60.5 ± 5.1
Semantic,XGBoost,58.2 ± 6.3,66.4 ± 6.5,60.4 ± 6.2
Morphological,LogReg,55.5 ± 4.0,62.1 ± 4.0,57.1 ± 3.9
Morphological,RandForest,62.3 ± 8.1,70.1 ± 8.5,63.3 ± 5.9
Morphological,XGBoost,60.0 ± 6.8,67.5 ± 8.0,64.0 ± 6.4
Phonological,LogReg,81.9 ± 4.0,87.1 ± 2.7,87.8 ± 4.9
Phonological,RandForest,69.9 ± 4.4,76.4 ± 3.9,79.0 ± 4.2
Phonological,XGBoost,73.4 ± 2.8,79.8 ± 2.2,81.2 ± 4.8
Morph+Phon,LogReg,82.8 ± 4.4,87.6 ± 3.0,88.9 ± 4.9
Morph+Phon,RandForest,73.8 ± 4.5,79.9 ± 3.7,80.8 ± 4.2
Morph+Phon,XGBoost,77.0 ± 3.6,82.9 ± 2.3,84.7 ± 4.5
All Features,LogReg,81.5 ± 3.9,86.7 ± 2.6,88.2 ± 4.8
All Features,RandForest,75.8 ± 4.2,81.8 ± 3.4,81.5 ± 4.1
All Features,XGBoost,77.4 ± 2.3,83.0 ± 1.6,84.3 ± 4.0
N-grams Only,LogReg,79.6 ± 3.2,85.2 ± 2.2,84.4 ± 5.4
N-grams Only,RandForest,74.5 ± 3.2,80.8 ± 2.2,80.6 ± 4.5
N-grams Only,XGBoost,73.9 ± 3.6,79.9 ± 2.8,80.9 ± 4.9
