Feature Set,Model,Accuracy,Macro-F1,AUC-ROC
Semantic,LogReg,56.7 ± 3.2,56.2 ± 3.3,60.9 ± 3.1
Semantic,RandForest,58.9 ± 3.0,63.5 ± 2.6,62.0 ± 3.0
Semantic,XGBoost,58.1 ± 2.2,59.8 ± 2.5,62.0 ± 2.4
Morphological,LogReg,56.9 ± 3.3,59.5 ± 2.5,58.7 ± 5.2
Morphological,RandForest,57.0 ± 3.1,58.4 ± 3.8,61.1 ± 5.0
Morphological,XGBoost,56.5 ± 3.8,56.9 ± 5.9,61.0 ± 5.2
Phonological,LogReg,77.1 ± 4.1,76.6 ± 3.9,84.5 ± 3.7
Phonological,RandForest,71.1 ± 4.8,68.3 ± 6.1,79.5 ± 4.1
Phonological,XGBoost,75.3 ± 3.4,74.7 ± 3.2,83.6 ± 3.7
Morph+Phon,LogReg,77.7 ± 3.4,76.9 ± 3.2,84.9 ± 3.8
Morph+Phon,RandForest,73.8 ± 5.1,71.8 ± 5.3,81.3 ± 3.6
Morph+Phon,XGBoost,76.3 ± 3.9,75.3 ± 3.7,85.2 ± 3.0
All Features,LogReg,77.0 ± 2.1,76.3 ± 1.7,84.5 ± 3.4
All Features,RandForest,74.0 ± 3.7,71.6 ± 4.6,80.8 ± 3.6
All Features,XGBoost,75.6 ± 2.9,74.6 ± 2.8,84.6 ± 2.8
N-grams Only,LogReg,75.4 ± 3.6,74.7 ± 3.7,82.9 ± 3.4
N-grams Only,RandForest,71.1 ± 3.4,74.5 ± 2.4,79.5 ± 4.3
N-grams Only,XGBoost,71.5 ± 4.2,73.7 ± 3.7,80.7 ± 3.4
