Feature Set,Model,Accuracy,Macro-F1,AUC-ROC
Semantic,LogReg,60.2 ± 5.2,26.6 ± 7.9,56.8 ± 11.5
Semantic,RandForest,54.1 ± 5.4,30.8 ± 6.6,57.3 ± 9.3
Semantic,XGBoost,30.8 ± 5.7,28.1 ± 3.6,54.6 ± 8.1
Morphological,LogReg,55.2 ± 8.4,35.4 ± 8.1,64.8 ± 9.5
Morphological,RandForest,55.4 ± 7.9,36.3 ± 7.7,63.4 ± 9.7
Morphological,XGBoost,55.5 ± 8.3,37.7 ± 8.8,64.6 ± 10.6
Phonological,LogReg,73.1 ± 4.2,52.7 ± 6.2,84.3 ± 5.2
Phonological,RandForest,72.1 ± 5.7,50.7 ± 7.4,81.1 ± 7.5
Phonological,XGBoost,66.0 ± 12.6,48.2 ± 10.2,81.7 ± 6.6
Morph+Phon,LogReg,81.3 ± 5.5,54.9 ± 12.6,85.1 ± 4.3
Morph+Phon,RandForest,78.3 ± 3.8,51.6 ± 10.0,83.9 ± 5.5
Morph+Phon,XGBoost,77.9 ± 4.3,53.7 ± 8.5,84.2 ± 6.2
All Features,LogReg,81.8 ± 3.5,48.7 ± 8.2,83.1 ± 5.9
All Features,RandForest,79.2 ± 3.6,49.9 ± 9.4,82.0 ± 6.6
All Features,XGBoost,77.2 ± 6.8,51.3 ± 10.3,81.6 ± 8.6
N-grams Only,LogReg,78.8 ± 4.8,49.0 ± 10.2,82.7 ± 7.8
N-grams Only,RandForest,71.0 ± 5.1,44.2 ± 6.1,78.1 ± 6.4
N-grams Only,XGBoost,66.0 ± 6.8,44.9 ± 8.9,78.6 ± 8.9
