Feature Set,Model,Accuracy,Macro-F1,AUC-ROC
Semantic,LogReg,58.4 ± 5.0,59.2 ± 4.4,64.3 ± 7.3
Semantic,RandForest,60.3 ± 6.0,58.7 ± 5.6,63.8 ± 7.4
Semantic,XGBoost,61.0 ± 5.8,60.3 ± 5.4,64.4 ± 6.8
Morphological,LogReg,66.4 ± 6.9,62.9 ± 8.1,70.7 ± 6.8
Morphological,RandForest,64.6 ± 6.1,62.5 ± 7.4,70.8 ± 7.1
Morphological,XGBoost,63.9 ± 5.3,62.3 ± 6.9,70.9 ± 6.9
Phonological,LogReg,77.6 ± 4.4,76.5 ± 4.6,83.1 ± 5.5
Phonological,RandForest,71.9 ± 5.0,70.9 ± 5.1,80.7 ± 6.2
Phonological,XGBoost,75.2 ± 5.7,74.4 ± 5.9,81.9 ± 7.0
Morph+Phon,LogReg,76.1 ± 6.3,75.6 ± 5.7,83.9 ± 5.9
Morph+Phon,RandForest,72.2 ± 5.4,72.5 ± 5.4,81.9 ± 6.3
Morph+Phon,XGBoost,78.6 ± 8.0,77.6 ± 8.7,85.8 ± 5.7
All Features,LogReg,74.9 ± 7.0,73.8 ± 6.9,83.2 ± 6.7
All Features,RandForest,71.9 ± 5.8,72.4 ± 4.8,81.0 ± 6.6
All Features,XGBoost,77.2 ± 8.5,76.2 ± 8.7,84.7 ± 6.6
N-grams Only,LogReg,74.0 ± 4.9,73.5 ± 4.4,82.0 ± 5.0
N-grams Only,RandForest,72.4 ± 4.7,71.3 ± 4.7,80.3 ± 5.6
N-grams Only,XGBoost,74.0 ± 4.9,72.9 ± 5.1,80.8 ± 5.7
