Feature Set,Model,Accuracy,Macro-F1,AUC-ROC
Semantic,LogReg,74.4 ± 5.0,11.1 ± 10.3,55.2 ± 15.7‡
Semantic,RandForest,61.2 ± 6.8,12.3 ± 7.0,53.6 ± 14.5
Semantic,XGBoost,36.3 ± 9.6,13.2 ± 6.1,56.3 ± 17.2‡
Morphological,LogReg,69.9 ± 6.3,21.8 ± 4.7,66.1 ± 8.3
Morphological,RandForest,75.1 ± 5.6,26.0 ± 8.0,69.0 ± 11.2
Morphological,XGBoost,75.5 ± 5.6,28.6 ± 7.6,71.0 ± 13.9
Phonological,LogReg,73.3 ± 6.5,30.7 ± 8.0,86.9 ± 7.1
Phonological,RandForest,64.4 ± 10.3,25.2 ± 7.0,86.9 ± 8.0
Phonological,XGBoost,56.1 ± 6.3,22.2 ± 4.5,87.0 ± 7.5
Morph+Phon,LogReg,85.9 ± 4.0,35.0 ± 17.8‡,88.0 ± 6.1
Morph+Phon,RandForest,80.1 ± 5.9,32.4 ± 7.3,87.2 ± 4.8
Morph+Phon,XGBoost,81.1 ± 4.1,31.2 ± 8.4,85.5 ± 8.1
All Features,LogReg,89.5 ± 3.2,35.3 ± 13.7,84.7 ± 6.7
All Features,RandForest,84.7 ± 4.9,37.3 ± 12.2,87.0 ± 7.0
All Features,XGBoost,86.5 ± 5.3,40.4 ± 14.9,87.7 ± 6.9
N-grams Only,LogReg,87.0 ± 3.9,39.9 ± 13.4,89.5 ± 6.8
N-grams Only,RandForest,79.2 ± 5.7,29.8 ± 17.2‡,88.1 ± 7.1
N-grams Only,XGBoost,71.5 ± 5.3,29.2 ± 8.0,86.0 ± 7.9
