Feature Set,Model,Accuracy,Macro-F1,AUC-ROC
Semantic,LogReg,68.7 ± 6.5,42.5 ± 10.9,77.1 ± 7.8
Semantic,RandForest,70.8 ± 6.6,44.0 ± 12.1,75.5 ± 8.1
Semantic,XGBoost,72.1 ± 7.1,44.3 ± 12.0,76.0 ± 7.6
Morphological,LogReg,83.6 ± 4.5,68.7 ± 6.4,92.7 ± 3.5
Morphological,RandForest,84.2 ± 4.3,69.2 ± 6.4,92.2 ± 4.1
Morphological,XGBoost,85.1 ± 4.4,70.4 ± 6.4,92.8 ± 2.6
Phonological,LogReg,93.2 ± 2.8,81.9 ± 7.5,94.1 ± 4.4
Phonological,RandForest,91.1 ± 3.3,75.3 ± 10.8,91.9 ± 4.5
Phonological,XGBoost,91.6 ± 2.9,77.1 ± 9.4,93.0 ± 4.4
Morph+Phon,LogReg,94.1 ± 1.9,85.0 ± 4.6,97.9 ± 1.5
Morph+Phon,RandForest,92.7 ± 3.3,83.3 ± 6.8,97.6 ± 1.7
Morph+Phon,XGBoost,95.9 ± 2.1,89.5 ± 5.3,97.5 ± 1.9
All Features,LogReg,94.3 ± 2.0,85.5 ± 4.9,97.8 ± 1.3
All Features,RandForest,92.2 ± 3.6,82.1 ± 7.6,97.7 ± 1.6
All Features,XGBoost,94.0 ± 2.4,84.4 ± 5.8,97.2 ± 1.6
N-grams Only,LogReg,92.2 ± 3.6,79.3 ± 9.3,93.9 ± 6.0
N-grams Only,RandForest,92.2 ± 3.3,78.3 ± 8.7,92.1 ± 5.9
N-grams Only,XGBoost,92.4 ± 2.5,79.7 ± 6.2,92.0 ± 6.7
