record_id,true_label,lstm_prediction,lstm_confidence,lstm_category,mp_prediction,mp_confidence,mp_category
46,0,0,0.7282089591026306,Medium (0.6-0.8),,,
47,0,1,0.5160636901855469,Low (<0.6),0.0,0.5003915351847076,Low (<0.6)
124,1,1,0.7844645977020264,Medium (0.6-0.8),,,
138,1,1,0.8070421814918518,High (≥0.8),,,
151,1,1,0.8257257342338562,High (≥0.8),,,
159,0,0,0.9010416269302368,High (≥0.8),1.0,0.7308597623164313,Medium (0.6-0.8)
162,1,1,0.9735698699951172,High (≥0.8),1.0,0.9254385429623276,High (≥0.8)
171,1,1,0.7634341716766357,Medium (0.6-0.8),1.0,0.7689942887593718,Medium (0.6-0.8)
190,1,1,0.9707109928131104,High (≥0.8),,,
197,1,1,0.9778411984443665,High (≥0.8),,,
200,0,1,0.873278021812439,High (≥0.8),,,
202,1,1,0.995739221572876,High (≥0.8),,,
225,1,1,0.8725247383117676,High (≥0.8),,,
250,0,0,0.965852677822113,High (≥0.8),1.0,0.8613013785147993,High (≥0.8)
256,1,1,0.989719569683075,High (≥0.8),1.0,0.9377861000136661,High (≥0.8)
257,1,1,0.9981775283813477,High (≥0.8),1.0,0.9799907116493924,High (≥0.8)
258,1,1,0.7310187220573425,Medium (0.6-0.8),0.0,0.7034330112660979,Medium (0.6-0.8)
271,0,0,0.8372114300727844,High (≥0.8),1.0,0.8214351774025128,High (≥0.8)
274,1,1,0.5263879299163818,Low (<0.6),1.0,0.900941581230129,High (≥0.8)
301,1,1,0.970281183719635,High (≥0.8),1.0,0.9444919692468066,High (≥0.8)
303,0,0,0.9541627168655396,High (≥0.8),,,
331,1,1,0.8719358444213867,High (≥0.8),1.0,0.5244220965525029,Low (<0.6)
365,1,1,0.6335068941116333,Medium (0.6-0.8),1.0,0.9068859163771923,High (≥0.8)
371,1,1,0.9799667000770569,High (≥0.8),1.0,0.6996762193023571,Medium (0.6-0.8)
384,0,0,0.891857385635376,High (≥0.8),1.0,0.6662560714136951,Medium (0.6-0.8)
397,1,1,0.6419855356216431,Medium (0.6-0.8),0.0,0.9039253241990226,High (≥0.8)
415,1,1,0.8690046668052673,High (≥0.8),,,
448,1,1,0.5483120679855347,Low (<0.6),,,
465,1,1,0.7862744331359863,Medium (0.6-0.8),,,
471,1,1,0.8854002356529236,High (≥0.8),1.0,0.7458094492898808,Medium (0.6-0.8)
518,1,1,0.9711806774139404,High (≥0.8),1.0,0.7023873473068004,Medium (0.6-0.8)
533,1,0,0.5851514935493469,Low (<0.6),,,
551,0,1,0.8427403569221497,High (≥0.8),,,
570,1,1,0.8776233792304993,High (≥0.8),1.0,0.5139950908233085,Low (<0.6)
572,1,1,0.9752936959266663,High (≥0.8),,,
588,1,1,0.858005702495575,High (≥0.8),,,
590,0,0,0.7835906744003296,Medium (0.6-0.8),,,
631,1,1,0.6483371257781982,Medium (0.6-0.8),,,
632,1,1,0.9776036739349365,High (≥0.8),1.0,0.8337404367640877,High (≥0.8)
643,1,1,0.9851752519607544,High (≥0.8),1.0,0.9182943433035972,High (≥0.8)
663,1,1,0.5316223502159119,Low (<0.6),,,
672,1,1,0.9452212452888489,High (≥0.8),,,
673,1,1,0.9755257368087769,High (≥0.8),,,
685,1,0,0.643723726272583,Medium (0.6-0.8),,,
686,1,1,0.9962351322174072,High (≥0.8),,,
688,0,0,0.8773167133331299,High (≥0.8),,,
696,0,1,0.825566828250885,High (≥0.8),,,
711,1,1,0.9944227933883667,High (≥0.8),1.0,0.7176126359210486,Medium (0.6-0.8)
718,1,1,0.9985313415527344,High (≥0.8),,,
722,1,1,0.8272242546081543,High (≥0.8),0.0,0.7435487854760656,Medium (0.6-0.8)
735,1,0,0.9154743552207947,High (≥0.8),,,
747,0,0,0.7516174912452698,Medium (0.6-0.8),,,
748,1,1,0.9172713756561279,High (≥0.8),1.0,0.7817135853715469,Medium (0.6-0.8)
766,1,1,0.9364619255065918,High (≥0.8),,,
768,0,0,0.5872002840042114,Low (<0.6),1.0,0.5189045494184064,Low (<0.6)
