record_id,true_label,lstm_prediction,lstm_confidence,lstm_category,mp_prediction,mp_confidence,mp_category
7,0,0,0.9115755558013916,High (≥0.8),0,0.9828527420936606,High (≥0.8)
99,0,0,0.9329075813293457,High (≥0.8),0,0.7833055161242262,Medium (0.6-0.8)
182,0,0,0.853058397769928,High (≥0.8),0,0.9979910323603883,High (≥0.8)
282,0,0,0.904724657535553,High (≥0.8),0,0.9955533956173596,High (≥0.8)
332,0,0,0.8569012880325317,High (≥0.8),0,0.9969614905918026,High (≥0.8)
345,0,0,0.8334512114524841,High (≥0.8),0,0.9495091981210835,High (≥0.8)
380,0,0,0.8732506632804871,High (≥0.8),0,0.9977838008208658,High (≥0.8)
398,0,0,0.9648464918136597,High (≥0.8),0,0.9087153531672211,High (≥0.8)
400,0,1,0.5129108428955078,Low (<0.6),0,0.798739299406227,Medium (0.6-0.8)
475,0,0,0.9553955793380737,High (≥0.8),0,0.5540033772428117,Low (<0.6)
535,0,0,0.9176702499389648,High (≥0.8),0,0.8955242334919595,High (≥0.8)
536,0,0,0.9364091753959656,High (≥0.8),0,0.9909441082134819,High (≥0.8)
557,0,1,0.520292341709137,Low (<0.6),0,0.9940736416377076,High (≥0.8)
562,0,0,0.8632630109786987,High (≥0.8),0,0.987832467057955,High (≥0.8)
608,0,0,0.5192890763282776,Low (<0.6),0,0.9637909385537727,High (≥0.8)
755,0,0,0.7152843475341797,Medium (0.6-0.8),0,0.9961493581520704,High (≥0.8)
780,0,0,0.9065338969230652,High (≥0.8),0,0.9998302952717886,High (≥0.8)
998,0,0,0.9569308757781982,High (≥0.8),0,0.8319174592836108,High (≥0.8)
1126,1,1,0.6238875985145569,Medium (0.6-0.8),0,0.8312403946164496,High (≥0.8)
1136,0,1,0.5002636313438416,Low (<0.6),1,0.5889070209488394,Low (<0.6)
1167,0,0,0.9537633657455444,High (≥0.8),0,0.845520862696264,High (≥0.8)
1265,0,0,0.7607407569885254,Medium (0.6-0.8),0,0.8190102962458032,High (≥0.8)
1273,0,0,0.8927047252655029,High (≥0.8),0,0.8955242334919595,High (≥0.8)
1340,0,0,0.9385979771614075,High (≥0.8),0,0.9986405032149122,High (≥0.8)
1382,0,0,0.9620305299758911,High (≥0.8),0,0.8227210500884082,High (≥0.8)
1462,0,0,0.9721667170524597,High (≥0.8),1,0.627918547033288,Medium (0.6-0.8)
1477,0,0,0.6362864971160889,Medium (0.6-0.8),0,0.9893696384966605,High (≥0.8)
1488,0,0,0.9410114884376526,High (≥0.8),0,0.892310788634,High (≥0.8)
1495,0,0,0.9506174325942993,High (≥0.8),0,0.6339438039914603,Medium (0.6-0.8)
1530,0,0,0.9398353695869446,High (≥0.8),0,0.9900403452582739,High (≥0.8)
1553,0,0,0.7888532280921936,Medium (0.6-0.8),1,0.5868390510252844,Low (<0.6)
1574,1,0,0.9572827219963074,High (≥0.8),0,0.5316770260459835,Low (<0.6)
1637,0,0,0.8775127530097961,High (≥0.8),0,0.9859842463187887,High (≥0.8)
1675,0,1,0.9975684881210327,High (≥0.8),0,0.5816050649814616,Low (<0.6)
1756,0,0,0.8280078172683716,High (≥0.8),0,0.5540033772428117,Low (<0.6)
1812,1,1,0.6411072611808777,Medium (0.6-0.8),1,0.8431610607128064,High (≥0.8)
1851,0,0,0.8684974312782288,High (≥0.8),0,0.796016417635039,Medium (0.6-0.8)
56,0,0,0.865665078163147,High (≥0.8),0,0.989699851761715,High (≥0.8)
121,1,1,0.7151704430580139,Medium (0.6-0.8),1,0.7881718743802477,Medium (0.6-0.8)
235,0,1,0.5084940195083618,Low (<0.6),0,0.6643767066925967,Medium (0.6-0.8)
