record_id,true_label,lstm_prediction,lstm_confidence,lstm_category,mp_prediction,mp_confidence,mp_category
54,0,0,0.9949742555618286,High (≥0.8),,,
65,1,0,0.7980151772499084,Medium (0.6-0.8),,,
84,0,0,0.6155520081520081,Medium (0.6-0.8),1.0,0.7525090843552317,Medium (0.6-0.8)
181,0,0,0.9982008934020996,High (≥0.8),,,
191,0,0,0.8905578255653381,High (≥0.8),,,
224,0,0,0.9971578121185303,High (≥0.8),,,
243,0,0,0.9993892908096313,High (≥0.8),0.0,0.9611264946372066,High (≥0.8)
244,0,0,0.9754027128219604,High (≥0.8),0.0,0.9253842767989028,High (≥0.8)
294,1,0,0.7804657816886902,Medium (0.6-0.8),,,
300,1,0,0.7940919399261475,Medium (0.6-0.8),,,
351,0,0,0.9960230588912964,High (≥0.8),0.0,0.9687949770203682,High (≥0.8)
361,0,0,0.9967290759086609,High (≥0.8),,,
409,0,0,0.9242944121360779,High (≥0.8),,,
428,0,0,0.9744960069656372,High (≥0.8),,,
483,0,0,0.9984217882156372,High (≥0.8),,,
510,0,0,0.999302089214325,High (≥0.8),,,
554,0,1,0.6058582067489624,Medium (0.6-0.8),,,
558,0,0,0.8731273412704468,High (≥0.8),,,
588,0,0,0.5245810151100159,Low (<0.6),,,
589,1,0,0.6007212400436401,Medium (0.6-0.8),,,
637,1,0,0.7804548740386963,Medium (0.6-0.8),,,
648,0,0,0.9726907014846802,High (≥0.8),,,
652,0,0,0.9996910095214844,High (≥0.8),,,
657,0,0,0.6733875274658203,Medium (0.6-0.8),,,
677,0,1,0.6042671203613281,Medium (0.6-0.8),,,
695,0,0,0.9971359968185425,High (≥0.8),,,
706,0,0,0.8777176737785339,High (≥0.8),,,
707,0,1,0.5464287996292114,Low (<0.6),0.0,0.9586197692392074,High (≥0.8)
865,1,1,0.8395698666572571,High (≥0.8),,,
899,0,0,0.8765362501144409,High (≥0.8),,,
933,0,1,0.5537407994270325,Low (<0.6),,,
953,0,0,0.8883999586105347,High (≥0.8),,,
973,0,0,0.9959568381309509,High (≥0.8),,,
1007,0,0,0.6138297319412231,Medium (0.6-0.8),,,
1050,0,0,0.9953894019126892,High (≥0.8),,,
1053,0,0,0.7930111885070801,Medium (0.6-0.8),0.0,0.9093070014564824,High (≥0.8)
1121,1,1,0.6806121468544006,Medium (0.6-0.8),1.0,0.9524072999411076,High (≥0.8)
1173,1,0,0.709261417388916,Medium (0.6-0.8),,,
1190,1,1,0.7846133708953857,Medium (0.6-0.8),0.0,0.9014591271302502,High (≥0.8)
1236,1,0,0.9178245663642883,High (≥0.8),,,
1274,0,0,0.8427276015281677,High (≥0.8),0.0,0.9460601204714212,High (≥0.8)
1313,0,1,0.5150502324104309,Low (<0.6),,,
1314,0,0,0.9975329637527466,High (≥0.8),,,
1320,0,0,0.9831297397613525,High (≥0.8),,,
1348,0,0,0.9947218298912048,High (≥0.8),,,
1387,0,0,0.8387046456336975,High (≥0.8),0.0,0.5164576333901609,Low (<0.6)
1422,0,0,0.9629974961280823,High (≥0.8),,,
1438,0,0,0.9949849247932434,High (≥0.8),,,
1514,0,0,0.9753841161727905,High (≥0.8),,,
1523,0,0,0.8529002666473389,High (≥0.8),,,
1525,0,0,0.998766303062439,High (≥0.8),,,
1616,0,0,0.9986342787742615,High (≥0.8),,,
1657,0,0,0.9276869893074036,High (≥0.8),1.0,0.5335135793003858,Low (<0.6)
1667,0,0,0.9909337759017944,High (≥0.8),,,
1694,0,0,0.966844916343689,High (≥0.8),,,
1777,0,0,0.9991857409477234,High (≥0.8),1.0,0.8868825167868514,High (≥0.8)
1870,0,0,0.9132288694381714,High (≥0.8),,,
6,0,0,0.9757176041603088,High (≥0.8),,,
47,1,1,0.8171417117118835,High (≥0.8),1.0,0.9230470248430844,High (≥0.8)
50,0,0,0.999912440776825,High (≥0.8),,,
112,1,1,0.8833346962928772,High (≥0.8),,,
113,0,0,0.9911138415336609,High (≥0.8),,,
127,1,0,0.9085397720336914,High (≥0.8),,,
130,0,0,0.6680504083633423,Medium (0.6-0.8),0.0,0.896457425487879,High (≥0.8)
172,0,0,0.9982960224151611,High (≥0.8),,,
177,0,0,0.9999982118606567,High (≥0.8),,,
195,0,0,0.999997615814209,High (≥0.8),,,
211,0,0,0.9915503859519958,High (≥0.8),0.0,0.9536089351892224,High (≥0.8)
271,0,0,0.9999921321868896,High (≥0.8),,,
272,0,0,0.6841914057731628,Medium (0.6-0.8),,,
298,0,0,0.9877153635025024,High (≥0.8),,,
304,0,0,0.8579743504524231,High (≥0.8),0.0,0.9651216042218009,High (≥0.8)
322,0,0,0.960032045841217,High (≥0.8),,,
384,0,0,0.9999910593032837,High (≥0.8),1.0,0.5092129661237715,Low (<0.6)
387,1,1,0.6644090414047241,Medium (0.6-0.8),,,
402,1,0,0.7636745572090149,Medium (0.6-0.8),,,
520,0,0,0.988353431224823,High (≥0.8),,,
559,0,0,0.9999838471412659,High (≥0.8),,,
574,0,0,0.9985405206680298,High (≥0.8),,,
590,0,0,0.9989571571350098,High (≥0.8),,,
675,1,1,0.9996291399002075,High (≥0.8),,,
682,0,0,0.9993199110031128,High (≥0.8),,,
768,1,1,0.9990091323852539,High (≥0.8),0.0,0.9839592520396958,High (≥0.8)
802,0,0,0.9470454454421997,High (≥0.8),,,
825,0,0,0.7578950524330139,Medium (0.6-0.8),,,
922,0,0,0.9942362904548645,High (≥0.8),,,
966,0,0,0.9998660087585449,High (≥0.8),,,
993,0,0,0.9999217391014099,High (≥0.8),,,
1008,0,0,0.935663640499115,High (≥0.8),,,
1013,0,0,0.9913744926452637,High (≥0.8),,,
1049,0,0,0.9899008870124817,High (≥0.8),0.0,0.9186912894688593,High (≥0.8)
1068,0,0,0.9965496063232422,High (≥0.8),0.0,0.9001768073425545,High (≥0.8)
1092,1,0,0.9532393217086792,High (≥0.8),,,
1218,1,0,0.6196733117103577,Medium (0.6-0.8),,,
1288,0,0,0.9998406767845154,High (≥0.8),,,
1296,0,0,0.9999923706054688,High (≥0.8),,,
1319,1,1,0.9999845623970032,High (≥0.8),,,
1332,0,0,0.8951870799064636,High (≥0.8),,,
1416,0,0,0.9999588131904602,High (≥0.8),,,
1417,0,0,0.9907406568527222,High (≥0.8),,,
1496,0,0,0.9672400951385498,High (≥0.8),,,
1518,0,0,0.9999986886978149,High (≥0.8),,,
1642,0,0,0.9933075904846191,High (≥0.8),,,
1663,0,0,0.9930062294006348,High (≥0.8),,,
1664,0,0,0.9999212622642517,High (≥0.8),,,
1680,0,0,0.9495721459388733,High (≥0.8),,,
1684,0,0,0.9747705459594727,High (≥0.8),0.0,0.9252275886258808,High (≥0.8)
1701,0,0,0.9706954956054688,High (≥0.8),,,
1720,0,0,0.9999959468841553,High (≥0.8),,,
1729,0,0,0.9981050491333008,High (≥0.8),,,
1762,0,0,0.9705291390419006,High (≥0.8),,,
1763,0,0,0.953443706035614,High (≥0.8),,,
1827,0,0,0.984312117099762,High (≥0.8),,,
1880,0,0,0.7262908220291138,Medium (0.6-0.8),,,
46,1,0,0.7412197589874268,Medium (0.6-0.8),,,
100,1,0,0.9022455811500549,High (≥0.8),,,
123,1,0,0.8873540163040161,High (≥0.8),,,
231,0,0,0.8950318098068237,High (≥0.8),0.0,0.9218966336140002,High (≥0.8)
238,0,0,0.8183401226997375,High (≥0.8),,,
254,0,0,0.9428958892822266,High (≥0.8),,,
268,0,0,0.8968290686607361,High (≥0.8),0.0,0.8989808302498152,High (≥0.8)
278,0,0,0.9291951656341553,High (≥0.8),,,
297,0,0,0.9041933417320251,High (≥0.8),0.0,0.5074380998649222,Low (<0.6)
309,1,0,0.8635862469673157,High (≥0.8),,,
429,1,0,0.9250794053077698,High (≥0.8),,,
448,0,0,0.8199587464332581,High (≥0.8),,,
455,0,0,0.9069929718971252,High (≥0.8),,,
516,0,0,0.8967815041542053,High (≥0.8),,,
618,0,0,0.8133692145347595,High (≥0.8),,,
641,0,0,0.894282341003418,High (≥0.8),,,
651,0,0,0.9369441866874695,High (≥0.8),,,
660,1,0,0.8681967258453369,High (≥0.8),,,
686,0,0,0.826748788356781,High (≥0.8),,,
709,0,0,0.9292373657226562,High (≥0.8),,,
715,0,0,0.8531877398490906,High (≥0.8),0.0,0.9002635972571614,High (≥0.8)
716,0,0,0.9070521593093872,High (≥0.8),0.0,0.9190946428446549,High (≥0.8)
772,0,0,0.902953028678894,High (≥0.8),,,
847,0,0,0.8960804343223572,High (≥0.8),,,
904,0,0,0.8302667737007141,High (≥0.8),,,
923,0,0,0.8522962331771851,High (≥0.8),,,
963,0,0,0.8121315240859985,High (≥0.8),,,
1020,0,0,0.9033915996551514,High (≥0.8),,,
1035,0,0,0.8714990019798279,High (≥0.8),0.0,0.9316479182659261,High (≥0.8)
1047,0,0,0.9042371511459351,High (≥0.8),,,
1057,0,0,0.9311032891273499,High (≥0.8),,,
1096,0,0,0.9245951771736145,High (≥0.8),0.0,0.5267913270122309,Low (<0.6)
1108,0,0,0.920103907585144,High (≥0.8),0.0,0.9093070014564824,High (≥0.8)
1138,0,0,0.846637487411499,High (≥0.8),,,
1146,1,0,0.8246268033981323,High (≥0.8),1.0,0.5455295416783409,Low (<0.6)
1191,0,0,0.9458030462265015,High (≥0.8),0.0,0.941509867892957,High (≥0.8)
