record_id,true_label,lstm_prediction,lstm_confidence,lstm_category,mp_prediction,mp_confidence,mp_category
47,0,0,0.9999864101409912,High (≥0.8),0,0.9870993595387758,High (≥0.8)
48,0,0,0.999970018863678,High (≥0.8),0,0.9863001278928517,High (≥0.8)
159,0,0,0.9999769330024719,High (≥0.8),0,0.9975415906660813,High (≥0.8)
219,0,0,0.9999867677688599,High (≥0.8),0,0.8741375056186147,High (≥0.8)
250,0,0,0.9999520778656006,High (≥0.8),0,0.9900870399523796,High (≥0.8)
282,0,0,0.9999746680259705,High (≥0.8),0,0.9198655087100194,High (≥0.8)
299,0,0,0.9999910593032837,High (≥0.8),0,0.899267595157555,High (≥0.8)
328,0,0,0.9999904632568359,High (≥0.8),0,0.8128139413137688,High (≥0.8)
401,0,0,0.9999914169311523,High (≥0.8),0,0.986959507148519,High (≥0.8)
408,0,0,0.9999790787696838,High (≥0.8),0,0.7176630405842539,Medium (0.6-0.8)
475,0,0,0.9999525547027588,High (≥0.8),0,0.9863001278928517,High (≥0.8)
507,0,0,0.9999778866767883,High (≥0.8),0,0.9699193460523124,High (≥0.8)
570,0,0,0.9999868869781494,High (≥0.8),0,0.9954294640520774,High (≥0.8)
608,0,0,0.9999619126319885,High (≥0.8),0,0.9505002744594664,High (≥0.8)
650,0,0,0.9999809861183167,High (≥0.8),0,0.9710240201134122,High (≥0.8)
664,0,0,0.9999763369560242,High (≥0.8),0,0.995412508534108,High (≥0.8)
773,0,0,0.9999755024909973,High (≥0.8),0,0.9910533202447275,High (≥0.8)
795,0,0,0.9999762177467346,High (≥0.8),0,0.9490456671421466,High (≥0.8)
1030,0,0,0.999944806098938,High (≥0.8),0,0.9972324324113957,High (≥0.8)
1122,0,0,0.9999763369560242,High (≥0.8),0,0.6643930495261325,Medium (0.6-0.8)
1164,0,0,0.9999858140945435,High (≥0.8),0,0.9974669084163819,High (≥0.8)
1233,0,0,0.9999770522117615,High (≥0.8),0,0.7038749149895235,Medium (0.6-0.8)
1303,0,0,0.9999473094940186,High (≥0.8),0,0.9544551454650372,High (≥0.8)
1305,0,0,0.9999772906303406,High (≥0.8),0,0.9773618782412086,High (≥0.8)
1306,0,0,0.9999627470970154,High (≥0.8),0,0.9980753402116825,High (≥0.8)
1418,0,0,0.9999757409095764,High (≥0.8),0,0.9598592174462969,High (≥0.8)
1434,0,0,0.9999622702598572,High (≥0.8),0,0.9882609837154996,High (≥0.8)
1435,0,0,0.9999911785125732,High (≥0.8),0,0.9866559110061219,High (≥0.8)
1486,0,0,0.9999555945396423,High (≥0.8),0,0.5872624129229431,Low (<0.6)
1495,0,0,0.9998205900192261,High (≥0.8),0,0.9863001278928517,High (≥0.8)
1520,0,0,0.9998903274536133,High (≥0.8),0,0.9953284961428563,High (≥0.8)
1530,0,0,0.9999549984931946,High (≥0.8),0,0.9927752340036237,High (≥0.8)
1617,0,0,0.9999775290489197,High (≥0.8),0,0.9707326917066584,High (≥0.8)
1638,0,0,0.9999777674674988,High (≥0.8),0,0.9929508218766107,High (≥0.8)
1657,0,0,0.9999879598617554,High (≥0.8),0,0.9981990098235431,High (≥0.8)
1753,0,0,0.9999611973762512,High (≥0.8),0,0.9501736331896637,High (≥0.8)
1849,0,0,0.9999490976333618,High (≥0.8),0,0.9959801188585887,High (≥0.8)
56,0,0,0.9998089075088501,High (≥0.8),0,0.9881253493581145,High (≥0.8)
99,0,0,0.9997373223304749,High (≥0.8),0,0.9971340033578869,High (≥0.8)
121,0,0,0.9991201758384705,High (≥0.8),0,0.9262520099593989,High (≥0.8)
166,0,0,0.9993225336074829,High (≥0.8),0,0.9297477859080696,High (≥0.8)
235,0,0,0.9995375275611877,High (≥0.8),0,0.9808764662593812,High (≥0.8)
248,0,0,0.9998260736465454,High (≥0.8),0,0.9530226546086583,High (≥0.8)
297,0,0,0.9994498491287231,High (≥0.8),0,0.990738246907026,High (≥0.8)
304,0,0,0.9997205138206482,High (≥0.8),0,0.8659176803752668,High (≥0.8)
351,0,0,0.9997105002403259,High (≥0.8),0,0.8434284090067881,High (≥0.8)
367,0,0,0.9995948672294617,High (≥0.8),0,0.9946666830365843,High (≥0.8)
403,0,0,0.9995878338813782,High (≥0.8),0,0.9885716019391402,High (≥0.8)
445,0,0,0.9995250701904297,High (≥0.8),0,0.9695629679790553,High (≥0.8)
722,0,0,0.9987857341766357,High (≥0.8),0,0.9655437463596536,High (≥0.8)
1012,0,0,0.9992012977600098,High (≥0.8),0,0.8882438773762658,High (≥0.8)
1029,0,0,0.9996305704116821,High (≥0.8),0,0.9809604542802215,High (≥0.8)
1031,0,0,0.9995728731155396,High (≥0.8),0,0.9973268063022014,High (≥0.8)
1044,0,0,0.9995911717414856,High (≥0.8),0,0.9440736579455429,High (≥0.8)
1121,0,0,0.9997199177742004,High (≥0.8),0,0.982008966522633,High (≥0.8)
1270,0,0,0.9992620944976807,High (≥0.8),0,0.9916053041106719,High (≥0.8)
1274,0,0,0.9995936751365662,High (≥0.8),0,0.7593068450363734,Medium (0.6-0.8)
1285,0,0,0.9997290968894958,High (≥0.8),0,0.9866859217493474,High (≥0.8)
1355,0,0,0.9995764493942261,High (≥0.8),0,0.9975422133066733,High (≥0.8)
1407,0,0,0.9993082880973816,High (≥0.8),0,0.9965087553493635,High (≥0.8)
1478,0,0,0.9996082186698914,High (≥0.8),0,0.9850023781516462,High (≥0.8)
1479,0,0,0.9990113973617554,High (≥0.8),0,0.9700373130836943,High (≥0.8)
1510,0,0,0.9995720386505127,High (≥0.8),0,0.9908984440101186,High (≥0.8)
1528,0,0,0.9978634119033813,High (≥0.8),0,0.9896157987810401,High (≥0.8)
1553,0,0,0.9995801448822021,High (≥0.8),0,0.9941674486664308,High (≥0.8)
1603,0,0,0.9995807409286499,High (≥0.8),0,0.9340590440788339,High (≥0.8)
1613,0,0,0.9993700385093689,High (≥0.8),0,0.9966590972380573,High (≥0.8)
1621,0,0,0.9996180534362793,High (≥0.8),0,0.9881253493581145,High (≥0.8)
1648,0,0,0.9995225667953491,High (≥0.8),1,0.9247162635420432,High (≥0.8)
1700,0,0,0.9993230104446411,High (≥0.8),1,0.7132570868811915,Medium (0.6-0.8)
1704,0,0,0.9997251629829407,High (≥0.8),0,0.7640627635812539,Medium (0.6-0.8)
1734,0,0,0.9993807077407837,High (≥0.8),0,0.9919734203164143,High (≥0.8)
1738,0,0,0.9993793964385986,High (≥0.8),0,0.9876021972621201,High (≥0.8)
1857,0,0,0.9997416138648987,High (≥0.8),0,0.9340852452213816,High (≥0.8)
