Domain,Sem,Morph,Phon,M+P,All,Ngr,LSTM,ΔNgr,ΔLSTM,Ceil,IrrErr%,Compl,Sev%
MACRO-LEVEL,,,,,,,,,,,,,
Has Suffix,0.500,0.541,0.785,0.797,0.781,0.760,0.735,0.036,0.062,0.797,12.241,0.421,3.766
Has Mutation,0.566,0.567,0.771,0.777,0.769,0.754,0.399,0.023,0.378,0.777,8.608,0.524,0.000
3-way,0.402,0.374,0.658,0.683,0.666,0.614,0.238,0.068,0.445,0.683,17.595,0.462,0.000
MICRO-LEVEL,,,,,,,,,,,,,
Medial A,0.495,0.503,0.670,0.715,0.688,0.678,0.673,0.037,0.042,0.715,7.273,0.324,2.727
Final A,0.464,0.476,0.457,0.593,0.617,0.660,0.458,-0.067,0.135,0.593,7.397,0.260,3.288
Final V/W,0.522,0.550,0.678,0.645,0.671,0.609,0.519,0.037,0.126,0.645,2.192,0.204,0.548
Ablaut,0.582,0.659,0.775,0.761,0.748,0.739,0.736,0.021,0.025,0.761,10.909,0.520,2.727
Insert C,0.480,0.515,0.570,0.636,0.648,0.663,0.512,-0.027,0.124,0.636,4.932,0.245,0.822
Templatic,0.605,0.788,0.889,0.907,0.910,0.872,0.848,0.034,0.059,0.907,0.548,0.025,0.274
8-way,0.172,0.192,0.439,0.469,0.464,0.418,0.086,0.051,0.383,0.469,27.671,0.500,0.000
