domain,feature_set,C_0.1,C_1.0,C_10.0,max_delta
has_suffix,Ngr,0.7324,0.7605,0.7643,0.0319
has_suffix,Sem,0.4997,0.4998,0.5020,0.0023
has_suffix,Morph,0.5436,0.5408,0.5408,0.0028
has_suffix,Phon,0.7188,0.7853,0.7894,0.0706
has_suffix,M+P,0.7437,0.7967,0.7930,0.0530
has_suffix,All,0.7365,0.7813,0.7894,0.0529
has_mutation,Ngr,0.7165,0.7536,0.7511,0.0371
has_mutation,Sem,0.5672,0.5659,0.5641,0.0031
has_mutation,Morph,0.5633,0.5666,0.5666,0.0032
has_mutation,Phon,0.7339,0.7709,0.7731,0.0392
has_mutation,M+P,0.7471,0.7766,0.7732,0.0295
has_mutation,All,0.7414,0.7691,0.7670,0.0277
3way,Ngr,0.5940,0.6142,0.6116,0.0202
3way,Sem,0.4029,0.4016,0.3997,0.0032
3way,Morph,0.4053,0.3737,0.3735,0.0318
3way,Phon,0.6388,0.6576,0.6547,0.0188
3way,M+P,0.6445,0.6827,0.6746,0.0382
3way,All,0.6518,0.6656,0.6669,0.0151
medial_a,Ngr,0.6346,0.6777,0.6986,0.0640
medial_a,Sem,0.4900,0.4953,0.4964,0.0064
medial_a,Morph,0.5187,0.5032,0.5008,0.0180
medial_a,Phon,0.6559,0.6697,0.6686,0.0138
medial_a,M+P,0.7009,0.7151,0.7134,0.0143
medial_a,All,0.6953,0.6883,0.6926,0.0071
final_a,Ngr,0.5895,0.6600,0.6730,0.0834
final_a,Sem,0.4575,0.4636,0.4714,0.0140
final_a,Morph,0.4760,0.4760,0.4760,0.0000
final_a,Phon,0.4583,0.4574,0.4629,0.0055
final_a,M+P,0.5828,0.5926,0.6021,0.0193
final_a,All,0.6095,0.6167,0.6031,0.0136
final_vw,Ngr,0.5763,0.6085,0.6116,0.0353
final_vw,Sem,0.5197,0.5219,0.5244,0.0047
final_vw,Morph,0.5345,0.5500,0.5500,0.0154
final_vw,Phon,0.6579,0.6779,0.6632,0.0200
final_vw,M+P,0.6379,0.6453,0.6371,0.0082
final_vw,All,0.6555,0.6715,0.6639,0.0160
ablaut,Ngr,0.7360,0.7395,0.7301,0.0094
ablaut,Sem,0.6022,0.5819,0.5863,0.0204
ablaut,Morph,0.6477,0.6587,0.6602,0.0125
ablaut,Phon,0.7323,0.7748,0.7552,0.0425
ablaut,M+P,0.7303,0.7606,0.7570,0.0303
ablaut,All,0.7284,0.7481,0.7387,0.0196
insert_c,Ngr,0.6296,0.6628,0.6594,0.0332
insert_c,Sem,0.4308,0.4800,0.4869,0.0561
insert_c,Morph,0.5243,0.5153,0.5153,0.0090
insert_c,Phon,0.5591,0.5702,0.5817,0.0226
insert_c,M+P,0.6382,0.6356,0.6643,0.0287
insert_c,All,0.6402,0.6480,0.5778,0.0702
templatic,Ngr,0.8561,0.8722,0.8796,0.0235
templatic,Sem,0.6042,0.6046,0.6125,0.0083
templatic,Morph,0.7443,0.7878,0.7921,0.0479
templatic,Phon,0.8283,0.8885,0.8945,0.0662
templatic,M+P,0.8807,0.9066,0.9254,0.0447
templatic,All,0.8831,0.9098,0.9232,0.0401
8way,Ngr,0.3816,0.4185,0.4137,0.0369
8way,Sem,0.1371,0.1724,0.1728,0.0357
8way,Morph,0.2039,0.1923,0.1807,0.0232
8way,Phon,0.3970,0.4387,0.4343,0.0416
8way,M+P,0.4491,0.4690,0.4690,0.0199
8way,All,0.4415,0.4643,0.4663,0.0248
